"binomial_name","Family","Genus","Species","species_origin","logging_status"
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed","50ha","unlogged"
"Ficus beccarii","Moraceae","Ficus","beccarii","50ha","unlogged"
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa","50ha","unlogged"
"Ficus mixed","Moraceae","Ficus","mixed","50ha","unlogged"
"Ficus obscura","Moraceae","Ficus","obscura","50ha","unlogged"
"Ficus sinuata","Moraceae","Ficus","sinuata","50ha","unlogged"
"Ficus species 1","Moraceae","Ficus","species 1","50ha","unlogged"
"Ficus species 2","Moraceae","Ficus","species 2","50ha","unlogged"
"Ficus species 3","Moraceae","Ficus","species 3","50ha","unlogged"
"Ficus species 4","Moraceae","Ficus","species 4","50ha","unlogged"
"Ficus species 5","Moraceae","Ficus","species 5","50ha","unlogged"
"Ficus species 6","Moraceae","Ficus","species 6","50ha","unlogged"
"Ficus species 7","Moraceae","Ficus","species 7","50ha","unlogged"
"Ficus species 8","Moraceae","Ficus","species 8","50ha","unlogged"
"Ficus stolonifera","Moraceae","Ficus","stolonifera","50ha","unlogged"
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed","CP","logged"
"Ficus variegata","Moraceae","Ficus","variegata","50ha, CP","both"
"Flacourtia rukam","Salicaceae","Flacourtia","rukam","50ha","unlogged"
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys","50ha, CP","both"
"Fordia gibbsiae","Fabaceae","Fordia","gibbsiae","50ha","unlogged"
"Fordia species 1","Fabaceae","Fordia","species 1","50ha","unlogged"
"Fordia species 3","Fabaceae","Fordia","species 3","50ha","unlogged"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima","50ha, CP","both"
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed","CP","logged"
"Galearia fulva","Pandaceae","Galearia","fulva","50ha, CP","both"
"Garcinia andersonii","Clusiaceae","Garcinia","andersonii","50ha, CP","both"
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii","50ha, CP","both"
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii","50ha","unlogged"
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia","50ha","unlogged"
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed","CP","logged"
"Gardenia carinata","Rubiaceae","Gardenia","carinata","50ha","unlogged"
"Gironniera nervosa","Ulmaceae","Gironniera","nervosa","50ha, CP","both"
"Gironniera species 1","Cannabaceae","Gironniera","species 1","50ha","unlogged"
"Glochidion borneensis","Phyllanthaceae","Glochidion","borneensis","50ha","unlogged"
"Glochidion elmari","Phyllanthaceae","Glochidion","elmari","50ha, CP","both"
"Glochidion lanceisepalum","Phyllanthaceae","Glochidion","lanceisepalum","50ha, CP","both"
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa","50ha, CP","both"
"Glochidion rubrum","Phyllanthaceae","Glochidion","rubrum","50ha, CP","both"
"Glochidion species 1","Phyllanthaceae","Glochidion","species 1","50ha","unlogged"
"Glochidion species 2","Phyllanthaceae","Glochidion","species 2","50ha","unlogged"
"Glochidion species 3","Phyllanthaceae","Glochidion","species 3","50ha","unlogged"
"Glochidion species 4","Phyllanthaceae","Glochidion","species 4","50ha","unlogged"
"Glochidion species 6","Phyllanthaceae","Glochidion","species 6","50ha","unlogged"
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed","50ha, CP","both"
"Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma","50ha","unlogged"
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha","50ha, CP","both"
"Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed","50ha","unlogged"
"Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida","50ha","unlogged"
"Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius","50ha","unlogged"
"Goniothalamus species 1","Annonaceae","Goniothalamus","species 1","50ha","unlogged"
"Goniothalamus species 2","Annonaceae","Goniothalamus","species 2","50ha","unlogged"
"Goniothalamus species 3","Annonaceae","Goniothalamus","species 3","50ha","unlogged"
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides","50ha, CP","both"
"Goniothalamus woodii","Annonaceae","Goniothalamus","woodii","50ha","unlogged"
"Gonocaryum calleryanum","Cardiopteridaceae","Gonocaryum","calleryanum","50ha","unlogged"
"Gonocaryum macrophyllum","Cardiopteridaceae","Gonocaryum","macrophyllum","50ha","unlogged"
"Gonystylus keithii","Thymelaeaceae","Gonystylus","keithii","50ha","unlogged"
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris","50ha, CP","both"
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis","50ha","unlogged"
"Harpullia arborea","Sapindaceae","Harpullia","arborea","50ha","unlogged"
"Harpullia species 1","Sapindaceae","Harpullia","species 1","50ha","unlogged"
"Helicia excelsa","Proteaceae","Helicia","excelsa","50ha, CP","both"
"Helicia robusta","Proteaceae","Helicia","robusta","50ha, CP","both"
"Heliciopsis artocarpoides","Proteaceae","Heliciopsis","artocarpoides","50ha","unlogged"
"Heritiera elata","Malvaceae","Heritiera","elata","50ha","unlogged"
"Homalium foetidum","Salicaceae","Homalium","foetidum","50ha","unlogged"
"Hopea ferruginea","Dipterocarpaceae","Hopea","ferruginea","50ha, CP","both"
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa","50ha, CP","both"
"Hopea pentanervia","Dipterocarpaceae","Hopea","pentanervia","50ha","unlogged"
"Hopea plagata","Dipterocarpaceae","Hopea","plagata","50ha","unlogged"
"Hopea sangal","Dipterocarpaceae","Hopea","sangal","50ha, CP","both"
"Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed","50ha, CP","both"
"Horsfieldia irya","Myristicaceae","Horsfieldia","irya","50ha","unlogged"
"Horsfieldia polyspherula","Myristicaceae","Horsfieldia","polyspherula","50ha, CP","both"
