"binomial_name","Family","Genus","Species","history","species_origin","logging_status"
"Diospyros muricata","Ebenaceae","Diospyros","muricata","NA","50ha, CP","both"
"Diospyros pilosanthera","Ebenaceae","Diospyros","pilosanthera","NA","50ha, CP","both"
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa","NA","50ha","unlogged"
"Diospyros species 1","Ebenaceae","Diospyros","species 1","NA","50ha","unlogged"
"Diospyros species 2","Ebenaceae","Diospyros","species 2","NA","50ha","unlogged"
"Diospyros species 3","Ebenaceae","Diospyros","species 3","NA","50ha","unlogged"
"Diospyros species 4","Ebenaceae","Diospyros","species 4","NA","50ha","unlogged"
"Diospyros species 6","Ebenaceae","Diospyros","species 6","NA","50ha","unlogged"
"Diospyros species 7","Ebenaceae","Diospyros","species 7","NA","50ha","unlogged"
"Diospyros squamaefolia","Ebenaceae","Diospyros","squamaefolia","NA","50ha","unlogged"
"Diospyros toposia","Ebenaceae","Diospyros","toposia","NA","50ha, CP","both"
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","NA","50ha, CP","both"
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed","NA","CP","logged"
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii","NA","50ha","unlogged"
"Diplospora malaccensis","Rubiaceae","Diplospora","malaccensis","NA","50ha, CP","both"
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed","NA","50ha","unlogged"
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus","NA","CP","logged"
"Dipterocarpus caudiferus","Dipterocarpaceae","Dipterocarpus","caudiferus","NA, NaturalRegeneration, ActiveRestoration","CP, IF","logged"
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed","NA","CP","logged"
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum","NA","50ha","unlogged"
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao","NA","50ha, CP","both"
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed","NA","50ha","unlogged"
"Drepanthus havilandii","Annonaceae","Drepanthus","havilandii","NA","CP","logged"
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","NA, ActiveRestoration, Unlogged","50ha, CP, IF","both"
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi","NA","50ha, CP","both"
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa","NA","50ha, CP","both"
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia","NA","50ha, CP","both"
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata","NA","50ha","unlogged"
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed","NA","50ha, CP","both"
"Duabanga moluccana","Sonneratiaceae","Duabanga","moluccana","NA","50ha, CP","both"
"Durio graveolens","Malvaceae","Durio","graveolens","NA","50ha, CP","both"
"Durio unknown mixed","Malvaceae","Durio","unknown mixed","NA","50ha, CP","both"
"Dysoxylum alliaceum","Meliaceae","Dysoxylum","alliaceum","NA","50ha","unlogged"
"Dysoxylum arborescens","Meliaceae","Dysoxylum","arborescens","NA","50ha","unlogged"
"Dysoxylum cauliflorum","Meliaceae","Dysoxylum","cauliflorum","NA","50ha","unlogged"
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum","NA","50ha, CP","both"
"Dysoxylum excelsum","Meliaceae","Dysoxylum","excelsum","NA","50ha","unlogged"
"Dysoxylum gaudichaudianum","Meliaceae","Dysoxylum","gaudichaudianum","NA","50ha","unlogged"
"Dysoxylum grande","Meliaceae","Dysoxylum","grande","NA","50ha","unlogged"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium","NA","50ha","unlogged"
"Dysoxylum parasiticum","Meliaceae","Dysoxylum","parasiticum","NA","50ha","unlogged"
"Dysoxylum rigidum","Meliaceae","Dysoxylum","rigidum","NA","50ha, CP","both"
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed","NA","50ha, CP","both"
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens","NA","50ha","unlogged"
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis","NA","50ha, CP","both"
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed","NA","50ha, CP","both"
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum","NA","50ha, CP","both"
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis","NA","50ha","unlogged"
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis","NA","50ha, CP","both"
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum","NA","50ha","unlogged"
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia","NA","50ha","unlogged"
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri","NA","50ha, CP","both"
"Fagraea cuspidata","Gentianaceae","Fagraea","cuspidata","NA","50ha, CP","both"
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed","NA","50ha","unlogged"
"Ficus beccarii","Moraceae","Ficus","beccarii","NA","50ha","unlogged"
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa","NA","50ha","unlogged"
"Ficus mixed","Moraceae","Ficus","mixed","NA","50ha","unlogged"
"Ficus obscura","Moraceae","Ficus","obscura","NA","50ha","unlogged"
"Ficus sinuata","Moraceae","Ficus","sinuata","NA","50ha","unlogged"
"Ficus species 1","Moraceae","Ficus","species 1","NA","50ha","unlogged"
"Ficus species 2","Moraceae","Ficus","species 2","NA","50ha","unlogged"
"Ficus species 3","Moraceae","Ficus","species 3","NA","50ha","unlogged"
"Ficus species 4","Moraceae","Ficus","species 4","NA","50ha","unlogged"
"Ficus species 5","Moraceae","Ficus","species 5","NA","50ha","unlogged"
"Ficus species 6","Moraceae","Ficus","species 6","NA","50ha","unlogged"
"Ficus species 7","Moraceae","Ficus","species 7","NA","50ha","unlogged"
"Ficus species 8","Moraceae","Ficus","species 8","NA","50ha","unlogged"
"Ficus stolonifera","Moraceae","Ficus","stolonifera","NA","50ha","unlogged"
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed","NA","CP","logged"
"Ficus variegata","Moraceae","Ficus","variegata","NA","50ha, CP","both"
"Flacourtia rukam","Salicaceae","Flacourtia","rukam","NA","50ha","unlogged"
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys","NA","50ha, CP","both"
"Fordia gibbsiae","Fabaceae","Fordia","gibbsiae","NA","50ha","unlogged"
"Fordia species 1","Fabaceae","Fordia","species 1","NA","50ha","unlogged"
"Fordia species 3","Fabaceae","Fordia","species 3","NA","50ha","unlogged"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima","NA","50ha, CP","both"
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed","NA","CP","logged"
"Galearia fulva","Pandaceae","Galearia","fulva","NA","50ha, CP","both"
"Garcinia andersonii","Clusiaceae","Garcinia","andersonii","NA","50ha, CP","both"
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii","NA","50ha, CP","both"
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii","NA","50ha","unlogged"
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia","NA","50ha","unlogged"
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed","NA","CP","logged"
"Gardenia carinata","Rubiaceae","Gardenia","carinata","NA","50ha","unlogged"
"Gironniera nervosa","Ulmaceae","Gironniera","nervosa","NA","50ha, CP","both"
"Gironniera species 1","Cannabaceae","Gironniera","species 1","NA","50ha","unlogged"
"Glochidion borneensis","Phyllanthaceae","Glochidion","borneensis","NA","50ha","unlogged"
"Glochidion elmari","Phyllanthaceae","Glochidion","elmari","NA","50ha, CP","both"
"Glochidion lanceisepalum","Phyllanthaceae","Glochidion","lanceisepalum","NA","50ha, CP","both"
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa","NA","50ha, CP","both"
"Glochidion rubrum","Phyllanthaceae","Glochidion","rubrum","NA","50ha, CP","both"
"Glochidion species 1","Phyllanthaceae","Glochidion","species 1","NA","50ha","unlogged"
"Glochidion species 2","Phyllanthaceae","Glochidion","species 2","NA","50ha","unlogged"
"Glochidion species 3","Phyllanthaceae","Glochidion","species 3","NA","50ha","unlogged"
"Glochidion species 4","Phyllanthaceae","Glochidion","species 4","NA","50ha","unlogged"
"Glochidion species 6","Phyllanthaceae","Glochidion","species 6","NA","50ha","unlogged"
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed","NA","50ha, CP","both"
"Glycosmis chlorosperma","Rutaceae","Glycosmis","chlorosperma","NA","50ha","unlogged"
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha","NA","50ha, CP","both"
"Glycosmis unknown mixed","Rutaceae","Glycosmis","unknown mixed","NA","50ha","unlogged"
"Gomphandra quadrifida","Stemonuraceae","Gomphandra","quadrifida","NA","50ha","unlogged"
"Goniothalamus gigantifolius","Annonaceae","Goniothalamus","gigantifolius","NA","50ha","unlogged"
"Goniothalamus species 1","Annonaceae","Goniothalamus","species 1","NA","50ha","unlogged"
