unique_plot,station,plot,coupe,location,climate_recorded,logged,history,logging_method,logging_intensity,logging_year,latco,longco,census
79_1,79,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
79_2,79,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
79_3,79,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
80_1,80,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
80_2,80,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
80_3,80,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
81_1,81,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
81_2,81,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
81_3,81,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
82_1,82,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
82_2,82,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
82_3,82,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
83_1,83,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
83_2,83,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
83_3,83,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
84_1,84,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
84_2,84,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
84_3,84,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
85_1,85,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
85_2,85,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
85_3,85,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
86_1,86,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
86_2,86,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
86_3,86,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
87_1,87,1,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
87_2,87,2,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
87_3,87,3,50ha,50ha,no,no,Unlogged,Unlogged,NA,NA,NA,NA,1
88_1,88,1,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
88_2,88,2,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
88_3,88,3,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
89_1,89,1,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
89_2,89,2,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
89_3,89,3,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
90_1,90,1,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
90_2,90,2,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
90_3,90,3,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
91_1,91,1,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
91_2,91,2,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
91_3,91,3,c83,1983_1,yes,yes,ActiveRestoration,Tractor,98.81,1983,547178,596350,1
92_1,92,1,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
92_2,92,2,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
92_3,92,3,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
93_1,93,1,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
93_2,93,2,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
93_3,93,3,c93,1983_3,yes,yes,ActiveRestoration,Tractor,91.76,1983,545793,596622,1
94_1,94,1,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
94_2,94,2,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
94_3,94,3,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
95_1,95,1,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
95_2,95,2,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
95_3,95,3,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
96_1,96,1,c82,1982_1,no,yes,ActiveRestoration,Tractor,126,1982,543049,595110,1
