"species","mean_dry_seed_mass_BIEN","trait","unit","level_used","sample_size","ids"
"Neoscortechinia kingii","119.998798464659","seed mass","mg","Family","1627","3958935,3959583,3959584,3959179,3959182,3959607,3959625,3959652,3962273,3962279,3962309,3962328,3960711,3962378,3962383,3962029,3962095,3962139,3962185,3962260,3962262,3962281,3962302,3962303,3962305,3962308,3962311,3962334,3962387,3962424,3962425,3962432,3962433,3962434,4405904,4405910,4405934,4426725,4426726,4426695,4426519,4426721,4426723,4426523,3133494,3154652,3926242,3926287,3926292,3943917,3944935,3944950,3959521,3962255,3962320,3962369,3962394,3962406,3962414,3879601,3880028,3882077,3882090,3886970,3868735,3869571,3869343,3869710,3869348,3869369,3869373,3869381,3869711,3869397,3869714,3869717,3869433,3869495,3869509,3869512,3869515,3869575,3869579,3869768,3869770,3869636,3869638,3869646,3869706,3869667,3869673,3869681,3869708,3869693,3869705,3869725,3869799,3869804,3869837,3869841,3869853,3869919,3869941,3869942,3869903,3869924,3869932,3869973,3869935,3869978,3869955,3869957,3869960,3869989,3869969,3869971,3869980,3869983,3869994,3870002,3870017,3870026,3870028,3870040,3870046,3870055,3868828,3869017,3869133,3869173,3869135,3869214,3869217,3869459,3869280,3869297,3869556,3870070,3870082,3870158,3870182,3870183,3870250,3870252,3879076,3879467,3878748,3878994,3881996,3882047,3882053,3881999,3882004,3882032,3882061,3881651,3194814,3194815,3194826,3194828,3194836,3194838,3885034,3885039,3884644,3884793,3884808,3194840,3194855,3194857,3194863,3194877,3885666,3885685,3194878,3194879,3885887,3194880,3194882,3194884,3886789,3194886,3194887,3194892,3194893,3194894,3886844,3194896,3194907,3887084,3887086,3886044,3886049,3886060,3194916,3194919,3194920,3886885,3887026,3887028,3887031,3887039,3887040,3887041,3887045,3887051,3887078,3887259,3889078,3890645,3890649,3890650,3194928,3194931,3194933,3194937,3194940,3194943,3194944,3194945,3194946,3194947,3194949,3194950,3194952,3194953,3892783,3194954,3194955,3194956,3194959,3194960,3898672,3900874,3900879,3900935,3902410,3902552,3902278,3906423,3898225,3920908,3923618,3922757,3922756,3923797,3924400,3924914,3924970,3925172,3925615,3926250,3926264,3926267,3926268,3926137,3926182,3926260,3926232,3928771,3930719,3943066,3943095,3943115,3943122,3944891,3944967,3934528,3955543,3955582,3954644,3957639,3957926,3957970,3958090,3144054,3143473,3143648,3143649,3144316,3144379,3144402,3144422,3144437,3144440,3144448,3144449,3144455,3146640,3149723,3149724,3149731,3149763,3149821,3149822,3149823,3149824,3153262,3155797,3155800,3155807,3155815,3155816,3155820,3155823,3155824,3155825,3155826,3155877,3159385,3159003,3155460,3155780,3155784,3155786,3194962,3194963,3194964,3194965,3194967,3194968,3194975,3194976,3194979,3194980,3194981,3194982,3194983,3194985,3194988,3194990,3194991,3194992,3194993,3203247,3236153,3240986,3241002,3241005,3241008,3241030,3240913,3241808,3241867,3241868,3241656,3242019,3242054,3243850,3243973,3246030,3246050,3246139,3251243,3251289,3251290,3260074,3255492,3255495,3255499,3273081,3273119,3273120,3273126,3273132,3273185,3273186,3273188,3273192,3273195,3273198,3273202,3273204,3273227,3273228,3273605,3273606,3273656,3273660,3273711,3273723,3273725,3273820,3273821,3273923,3273972,3273975,3274009,3274011,3274639,3274641,3274646,3274647,3274724,3274725,3274757,3274761,3274782,3274785,3274831,3274833,3274850,3274851,3274988,3274989,3275003,3275007,3275010,3275013,3275017,3275019,3275102,3276164,3276165,3276191,3276195,3276203,3276206,3276210,3276212,3276223,3276224,3276301,3276302,3276304,3276316,3276319,3276329,3276331,3276348,3276349,3276410,3276412,3276416,3276419,3276422,3276450,3276452,3276463,3276464,3276470,3276491,3276498,3276500,3276505,3276506,3276512,3276526,3276533,3276540,3276553,3276586,3276604,3276611,3276618,3276620,3276625,3276626,3276632,3276638,3276649,3276656,3276668,3276671,3276675,3276677,3276682,3276683,3276715,3276721,3276727,3276740,3276743,3276747,3276749,3276791,3276828,3276835,3276839,3276842,3276845,3276849,3276851,3276856,3276857,3276973,3276981,3277002,3277036,3277066,3277087,3277093,3277105,3277106,3277107,3277108,3277109,3277110,3277111,3277112,3277113,3277114,3277115,3277116,3277117,3277118,3277119,3277120,3277121,3277122,3277123,3277124,3277125,3277126,3277127,3277128,3277129,3277130,3277131,3277132,3277133,3277134,3277135,3277136,3277137,3277138,3277139,3277140,3277141,3277142,3277143,3277144,3277145,3277146,3277147,3277148,3277149,3277150,3277151,3277152,3277153,3277154,3277155,3277156,3277157,3277158,3277159,3277160,3277161,3277162,3277163,3277164,3277165,3277166,3277167,3277168,3277169,3277170,3277171,3277172,3277173,3277174,3277175,3277176,3277177,3277178,3277179,3277180,3277181,3277182,3277183,3277184,3277185,3277186,3277187,3277188,3277189,3277190,3277191,3277192,3277193,3277194,3277195,3277196,3277197,3277198,3277199,3277200,3277201,3277202,3277203,3277204,3277205,3277206,3277207,3277208,3277209,3277210,3277211,3277212,3277213,3277214,3277215,3277216,3277217,3277218,3277219,3277220,3277221,3277222,3277223,3277224,3277225,3277226,3277227,3277228,3277229,3277230,3277231,3277232,3277233,3277234,3277235,3277236,3277237,3277238,3277239,3277240,3277241,3277242,3277243,3277244,3277245,3277246,3277247,3277248,3277249,3277250,3277251,3277252,3277253,3277254,3277255,3277256,3277257,3277258,3277259,3277260,3277261,3277262,3277263,3277264,3277265,3277266,3277267,3277268,3277269,3277270,3277271,3277272,3277273,3277274,3277275,3277276,3277277,3277278,3277279,3277280,3277281,3277282,3277283,3277284,3277285,3277286,3277287,3277288,3277289,3277290,3277291,3277292,3277293,3277294,3277295,3277296,3277297,3277298,3277299,3277300,3277301,3277302,3277303,3277304,3277305,3277306,3277307,3277308,3277309,3277310,3277311,3277312,3277313,3277314,3277315,3277316,3277317,3277318,3277319,3277320,3277321,3277322,3277323,3277324,3277325,3277326,3277327,3277328,3277329,3277330,3277331,3277332,3277333,3277334,3277335,3277336,3277337,3277338,3277339,3277340,3277341,3277342,3277343,3277344,3277345,3277346,3277347,3277348,3277349,3277350,3277351,3277352,3277353,3277354,3277355,3277356,3277357,3277358,3277359,3277360,3277361,3277362,3277363,3277364,3277365,3277366,3277367,3277368,3277369,3277370,3277371,3277372,3277373,3277374,3277375,3277376,3277377,3277378,3277379,3277380,3277381,3277382,3277383,3277384,3277385,3277386,3277387,3277388,3277389,3277390,3277391,3277392,3277393,3277394,3277395,3277396,3277397,3277398,3277399,3277400,3277401,3277402,3277403,3277404,3277405,3277406,3277407,3277408,3277409,3277410,3277411,3277412,3277413,3277414,3277415,3277416,3277417,3277418,3277419,3277420,3277421,3277422,3277423,3277424,3277425,3277426,3277427,3277428,3277429,3277430,3277431,3277432,3277433,3277434,3277435,3277436,3277437,3277438,3277439,3277440,3277441,3277442,3277443,3277444,3277445,3277446,3277447,3277448,3277449,3277450,3277451,3277452,3277453,3277454,3277455,3277456,3277457,3277458,3277459,3277460,3277461,3277462,3277463,3277464,3277465,3277466,3277467,3277468,3277469,3277470,3277471,3277472,3277473,3277474,3277475,3277476,3277477,3277478,3277479,3277480,3277481,3277482,3277483,3277484,3277485,3277486,3277487,3277488,3277489,3277490,3277491,3277492,3277493,3277494,3277495,3277496,3277497,3277498,3277499,3277500,3277501,3277502,3277503,3277504,3277505,3277506,3277507,3277508,3277509,3277510,3277511,3277512,3277513,3277514,3277515,3277516,3277517,3277518,3277519,3277520,3277521,3277522,3277523,3277524,3277525,3277526,3277527,3277528,3277529,3277530,3277531,3277532,3277533,3277534,3277535,3277536,3277537,3277538,3277539,3277540,3277541,3277542,3277543,3277544,3277545,3277546,3277547,3277548,3277549,3277550,3277551,3277552,3277553,3277554,3277555,3277556,3277557,3277558,3277559,3277560,3277561,3277562,3277563,3277564,3277565,3277566,3277567,3277568,3277569,3277570,3277571,3277572,3277573,3277574,3277575,3277576,3277577,3277578,3277579,3277580,3277581,3277582,3277583,3277584,3277585,3277586,3277587,3277588,3277589,3277590,3277591,3277592,3277593,3277594,3277595,3277596,3277597,3277598,3277599,3277600,3277601,3277602,3277603,3277604,3277605,3277606,3277607,3277608,3277609,3277610,3277611,3277612,3277613,3277614,3277615,3277616,3277617,3277618,3277619,3277620,3277621,3277622,3277623,3277624,3277625,3277626,3277627,3277628,3277629,3277630,3277631,3277632,3277633,3277634,3277635,3277636,3277637,3277638,3277639,3277640,3277641,3277642,3277643,3277644,3277645,3277646,3277647,3277648,3277649,3277650,3277651,3277652,3277653,3277654,3277655,3277656,3277657,3277658,3277659,3277660,3277661,3277662,3277663,3277664,3277665,3277666,3277667,3277668,3277669,3277670,3277671,3277672,3277673,3277674,3277675,3277676,3277677,3277678,3277679,3277680,3277681,3277682,3277683,3277684,3277685,3277686,3277687,3277688,3277689,3277690,3277691,3277692,3277693,3277694,3277695,3277696,3277697,3277698,3277699,3277700,3277701,3277702,3277703,3277704,3277705,3277706,3277707,3277708,3277709,3277710,3277711,3277712,3277713,3277714,3277715,3277716,3277717,3277718,3277719,3277720,3277721,3277722,3277723,3277724,3277725,3277726,3277727,3277728,3277729,3277730,3277731,3277732,3277733,3277734,3277735,3277736,3277737,3277738,3277739,3277740,3277741,3277742,3277743,3277744,3277745,3277746,3277747,3277748,3277749,3277750,3277751,3277752,3277753,3277754,3277755,3277756,3277757,3277758,3277759,3277760,3277761,3277762,3277763,3277764,3277765,3277766,3277767,3277769,3277770,3277771,3277772,3277773,3277774,3277775,3277776,3277777,3277778,3277779,3277780,3277781,3277782,3277783,3277784,3277785,3277786,3277787,3277788,3277789,3277790,3277791,3277792,3277793,3277794,3277795,3277796,3277797,3277798,3277799,3277800,3277801,3277802,3277803,3277804,3277805,3277806,3277807,3277808,3277809,3277810,3277811,3277812,3277813,3277814,3277815,3277816,3277817,3277818,3277819,3277820,3277821,3277822,3277823,3277824,3277825,3277826,3277827,3277828,3277829,3277830,3277831,3277832,3277833,3277834,3277835,3277836,3277837,3277838,3277839,3277840,3277841,3277842,3277843,3277844,3277845,3277846,3277847,3277848,3277849,3277850,3277851,3277852,3277853,3277854,3277855,3277856,3277857,3277858,3277859,3277860,3277861,3277862,3277863,3277864,3277865,3277866,3277867,3277868,3277869,3277870,3277871,3277872,3277873,3277874,3277875,3277876,3277877,3277878,3277879,3277880,3277881,3277882,3277883,3277884,3277885,3277886,3277887,3277888,3277889,3277890,3277891,3277892,3277893,3277894,3277895,3277896,3277897,3277898,3277899,3277900,3277901,3277902,3277903,3277904,3277905,3277906,3277907,3277908,3277909,3277910,3277911,3277912,3277913,3277914,3277915,3277916,3277917,3277918,3277919,3277920,3277921,3277922,3277923,3277924,3277925,3277926,3277927,3277928,3277929,3277930,3277931,3277932,3277933,3277934,3277935,3277936,3277937,3277938,3277939,3277940,3277941,3277942,3277943,3277944,3277945,3277946,3277947,3277948,3277949,3277950,3277951,3277952,3277953,3277954,3277955,3277956,3277957,3277958,3277959,3277960,3277961,3277962,3277963,3277964,3277965,3277966,3277967,3277968,3277969,3277970,3277971,3277972,3277973,3277974,3277975,3277976,3277977,3277978,3277979,3277980,3277981,3277982,3277983,3277984,3277985,3277986,3277987,3277988,3277989,3277990,3277991,3277992,3277993,3277994,3277995,3277996,3277997,3277998,3277999,3278000,3278001,3278002,3278003,3278004,3278005,3278006,3278007,3278008,3278009,3278010,3278011,3278012,3278013,3278014,3278015,3278016,3278017,3278018,3278019,3278020,3278021,3278022,3278023,3278024,3278025,3278026,3278027,3278028,3278029,3278030,3278031,3278032,3278033,3278034,3278035,3278036,3278037,3278038,3278039,3278040,3278041,3278042,3278043,3278044,3278045,3278046,3278047,3278048,3278049,3278050,3278051,3278052,3278053,3278054,3278055,3278056,3278057,3278058,3278059,3278060,3278061,3278062,3278063,3278064,3278065,3278066,3278067,3278068,3278069,3278070,3278071,3278072,3278073,3278074,3278075,3278076,3278077,3278078,3278079,3278080,3278081,3278552,3271634,3271842,3271848,3271876,3271893,3272310,3272337,3272405,3272478,3272484,3272492,3272504,3272510,3272576,3272633,3272635,3272902,3272904,3272909,3273074,3865835,3867806,3867075,13976,15094,3101253,3101254,3101255,3102947,3102944,3102945,3102946,3103013,3103986,3103073,3104344,3104659,3104664,3104666,3104679,3104684,3104685,3112042,3112062,3112069,3112080,3116573,3116353,3116371,3116356,3116360,3116367,3116374,3116881,3117342,3117151,3122197,3122213,3122285,3119933,3119934,3119936,3126051,3126328,3126366,3126358,3126359,3126361,3126364,3126365,3126367,3126368,3126369,3126370,3126376,3126377,3126379,3126385,3126386,3126389,3126393,3126395,3126399,3126401,3126402,3126403,3126426,3126428,3126433,3126439,3126440,3126449,3126455,3126456,3126462,3126468,3126469,3126473,3126475,3126479,3126480,3126483,3126485,3126486,3126488,3126495,3126493,3126497,3126499,3126511,3126512,3126513,3126515,3126520,3126523,3126524,3126528,3126536,3126540,3126543,3128151,3128146,3128170,3128183,3128187,3128209,3128294,3129667,3129668,3130597,3130625,3132757,3132771,3132780,3132783,3132792,3132798,3132820,3132854,3132609,3132617,3134562,3134575,3134542,3135928,3136702,3136712,3136270,3142668,3142675,3142679,3142798,3142805,3143247,3142920,3143397,3143404,3143845"
"Nephelium cuspidatum","1774.225","seed mass","mg","Genus","4","3892511,3892531,3891825,3133223"
"Nephelium maingayi","1774.225","seed mass","mg","Genus","4","3892511,3892531,3891825,3133223"
"Nephelium ramboutan-ake","1774.225","seed mass","mg","Genus","4","3892511,3892531,3891825,3133223"
"Nothaphoebe canescens","2100","seed mass","mg","Genus","1","3131436"
"Nothaphoebe heterophylla","2100","seed mass","mg","Genus","1","3131436"
"Nothaphoebe unknown","2100","seed mass","mg","Genus","1","3131436"
"Nothaphoebe umbelliflora","2100","seed mass","mg","Species","1","3131436"
"Nothaphoebe unknown<a0>mixed","2100","seed mass","mg","Genus","1","3131436"
"Nyssa javanica","NA","seed mass","mg","NA","0","NA"
"Ochanostachys amentacea","774.215142857143","seed mass","mg","Family","7","3877370,3877387,3877422,3894860,3930779,3451796,3451812"
"Octomeles sumatrana","250","seed mass","mg","Family","1","3133103"
"Oreocnide trinervis","237.305657053435","seed mass","mg","Family","131","3965360,3965368,3963663,4400449,4405805,4406857,4406859,4414128,4414130,4414131,4430674,4430768,3245853,3892911,3907922,3932888,3956431,3956453,3869535,3883186,3900166,3900369,3902130,3902131,3902132,3902133,3905798,3905526,3907920,3919711,3921770,3925943,3928145,3929768,3931327,3932264,3932315,3932714,3932241,3932273,3932306,3932339,3932423,3932915,3932611,3932758,3932938,3932964,3933038,3955240,3951381,3951462,3951505,3956472,3956473,3955421,3956126,3956389,3956184,3956410,3956412,3956382,3956387,3956388,3956402,3956420,3956427,3956428,3956430,3956437,3956443,3956459,3956460,3145213,3145221,3149725,3150432,3152391,3153134,3153145,3155798,3155791,3155796,3244175,3244192,3244567,3244584,3244601,3244046,3244171,3244185,3244187,3245847,3245850,3245851,3245854,3245531,3245775,3245841,3248521,3260410,3702360,3710054,3791698,3117345,3117228,3117825,3118306,3120883,3126341,3126344,3127022,3129214,3133151,3133152,3133270,3133776,3133777,3134610,3134616,3134624,3135620,3136727,3137080,3138070,3138099,3138250,3138716,3141166,3141169,3142612"
"Ormosia bancana","1652.87871095238","seed mass","mg","Genus","63","3106997,3106998,3119105,3119416,3119417,3205463,3206505,3207175,3207290,3441158,3445616,3454074,3256816,3895584,3895603,3895619,3895631,3167276,3192168,3194205,3895535,3892572,3892634,3893927,3891765,3893984,3895576,3895585,3895595,3895608,3895615,3895623,3895630,3895633,3895639,3895645,3898598,3900876,3938515,3938522,3151185,3151233,3151234,3194092,3183296,3242415,3242445,3260439,3454064,3454073,3454082,14186,3103041,3116966,3126613,3131855,3131601,3131619,3131628,3131689,3131757,3131806,3131807"
"Orophea corymbosa","1341.40229068627","seed mass","mg","Family","102","3111763,3120541,3121817,3151696,3152557,3219442,3407017,3413569,3413517,3414975,3420163,3232054,3232018,3231831,3231872,3231959,3232047,3232050,3232051,3892550,3932917,3934728,3934912,3934931,3946327,3946624,3946977,3963856,3963862,3965609,3876486,3876528,3193358,3193360,3876492,3194298,3896370,3899267,3906752,3907070,3907067,3922886,3933100,3945498,3946061,3946152,3946824,3946893,3946899,3946943,3946952,3946958,3946962,3946963,3946965,3946989,3952737,3151772,3159061,3159062,3180401,3181246,3178862,3185915,3219460,3231969,3232043,3232062,3242480,3254626,3755501,3946984,3102484,3110235,3115409,3115443,3118014,3118213,3119774,3124919,3131308,3132500,3134696,3134697,3138985,3134889,3135796,3138983,3135904,3138984,3138982,3138770,3138958,3138980,3138981,3139476,3139906,3139976,3140152,3140365,3140369,3141601"
"Orophea creaghii","1341.40229068627","seed mass","mg","Family","102","3111763,3120541,3121817,3151696,3152557,3219442,3407017,3413569,3413517,3414975,3420163,3232054,3232018,3231831,3231872,3231959,3232047,3232050,3232051,3892550,3932917,3934728,3934912,3934931,3946327,3946624,3946977,3963856,3963862,3965609,3876486,3876528,3193358,3193360,3876492,3194298,3896370,3899267,3906752,3907070,3907067,3922886,3933100,3945498,3946061,3946152,3946824,3946893,3946899,3946943,3946952,3946958,3946962,3946963,3946965,3946989,3952737,3151772,3159061,3159062,3180401,3181246,3178862,3185915,3219460,3231969,3232043,3232062,3242480,3254626,3755501,3946984,3102484,3110235,3115409,3115443,3118014,3118213,3119774,3124919,3131308,3132500,3134696,3134697,3138985,3134889,3135796,3138983,3135904,3138984,3138982,3138770,3138958,3138980,3138981,3139476,3139906,3139976,3140152,3140365,3140369,3141601"
"Orophea myriantha","1341.40229068627","seed mass","mg","Family","102","3111763,3120541,3121817,3151696,3152557,3219442,3407017,3413569,3413517,3414975,3420163,3232054,3232018,3231831,3231872,3231959,3232047,3232050,3232051,3892550,3932917,3934728,3934912,3934931,3946327,3946624,3946977,3963856,3963862,3965609,3876486,3876528,3193358,3193360,3876492,3194298,3896370,3899267,3906752,3907070,3907067,3922886,3933100,3945498,3946061,3946152,3946824,3946893,3946899,3946943,3946952,3946958,3946962,3946963,3946965,3946989,3952737,3151772,3159061,3159062,3180401,3181246,3178862,3185915,3219460,3231969,3232043,3232062,3242480,3254626,3755501,3946984,3102484,3110235,3115409,3115443,3118014,3118213,3119774,3124919,3131308,3132500,3134696,3134697,3138985,3134889,3135796,3138983,3135904,3138984,3138982,3138770,3138958,3138980,3138981,3139476,3139906,3139976,3140152,3140365,3140369,3141601"
"Palaquium beccarianum","1642.70909090909","seed mass","mg","Genus","11","3896072,3896169,3896258,3896265,3898567,3151252,3151286,3261699,3187726,14217,3131827"
"Palaquium dasyphyllum","1642.70909090909","seed mass","mg","Genus","11","3896072,3896169,3896258,3896265,3898567,3151252,3151286,3261699,3187726,14217,3131827"
"Palaquium maingayi","1642.70909090909","seed mass","mg","Genus","11","3896072,3896169,3896258,3896265,3898567,3151252,3151286,3261699,3187726,14217,3131827"
"Palaquium sericeum","1642.70909090909","seed mass","mg","Genus","11","3896072,3896169,3896258,3896265,3898567,3151252,3151286,3261699,3187726,14217,3131827"
"Palaquium unknown<a0>mixed","1642.70909090909","seed mass","mg","Genus","11","3896072,3896169,3896258,3896265,3898567,3151252,3151286,3261699,3187726,14217,3131827"
"Pangium edule","576.8788","seed mass","mg","Family","5","3885399,3878673,3880009,3880011,3744034"
"Paranephelium macrophyllum","3110.25326076077","seed mass","mg","Family","418","3966160,3966475,3966565,3966584,3964687,3968596,3968584,3968598,3968641,3968688,3968658,3968660,3968672,3968709,3968739,3968761,3965035,3963046,3965616,3965605,3965610,3966168,3963788,3963965,4414173,4406701,4406707,4430631,4430891,4430896,3107572,3107577,3107578,3107579,3119579,3151527,3209934,3209935,3209923,3209924,3209925,3209946,3209961,3470006,3478107,3228256,3487520,3491774,3239733,3239803,3239804,3257005,3257019,3257022,3926233,3930171,3930182,3931084,3931098,3945347,3963005,3963015,3963019,3963027,3963055,3963061,3801412,3889580,3889617,3172241,3172244,3172245,3172246,3181845,3191687,4407137,4414171,4431068,3868050,3867224,3867281,3868761,3869329,3868912,3868989,3869029,3869030,3869033,3869036,3869037,3869038,3872585,3874871,3876572,3876668,3876701,3876912,3879614,3879444,3193316,3883007,3889613,3892511,3892531,3891825,3900800,3918510,3923540,3924027,3924053,3924058,3924063,3924099,3925254,3926235,3926237,3925695,3926057,3926056,3926099,3926079,3926096,3926125,3926217,3926152,3926218,3926157,3926162,3927108,3926202,3926206,3926208,3926227,3926234,3942021,3942029,3943241,3943247,3943516,3943549,3942019,3942020,3936904,3938492,3936866,3938507,3942202,3942277,3942512,3942602,3942691,3942961,3943083,3943020,3943088,3943110,3943128,3943133,3943173,3943148,3943153,3943156,3943159,3943171,3943184,3943190,3943209,3943194,3943197,3943201,3943219,3943207,3943208,3943222,3943240,3943230,3943232,3943236,3943255,3943261,3943263,3943265,3943273,3943306,3943307,3943300,3943303,3943308,3943320,3943329,3943322,3943354,3943335,3943359,3943340,3943345,3943347,3943370,3943462,3943410,3940384,3941248,3941934,3941935,3941936,3944388,3944389,3944338,3944345,3943425,3943443,3943435,3943452,3943455,3943457,3943460,3943461,3943470,3943477,3943480,3943488,3943489,3943517,3943519,3943601,3943611,3943627,3943813,3944378,3944382,3944707,3944103,3944020,3944643,3945296,3945312,3945334,3945340,3953330,3953338,3953748,3954505,3963232,3144331,3145347,3145664,3145669,3152139,3152451,3152476,3152482,3152483,3152485,3152486,3152487,3152488,3152493,3152495,3152496,3152500,3152501,3152505,3152506,3152507,3153589,3153590,3155818,3171101,3184304,3184433,3208739,3227613,3227619,3237608,3238154,3231478,3241020,3242648,3243616,3243960,3244969,3244979,3245005,3245012,3245029,3245034,3245036,3244956,3244961,3244962,3246245,3246318,3246326,3246327,3246328,3246427,3250917,3249524,3250915,3260245,3261336,3704496,3704505,3704537,3742543,3744001,3869018,3923125,3926049,3102450,3102446,3103232,3103234,3104355,3104356,3104357,3110056,3110057,3110054,3114926,3117697,3117918,3117924,3117929,3117960,3120901,3120968,3119115,3126314,3126315,3126316,3126406,3127968,3128452,3128463,3132166,3133223,3135102,3135149,3136693,3136338,3137104,3137567,3137921,3137922,3138658,3138967,3138728,3138785,3138796,3138536,3138543,3138548,3138549,3138565,3138566,3138585,3138605,3138608,3138622,3138628,3138642,3139007,3139008,3139040,3139045,3138835,3138838,3138840,3138842,3138844,3138848,3138849,3138850,3138873,3138876,3138879,3138882,3138883,3138891,3138892,3138896,3138899,3138901,3138912,3138921,3138922,3138923,3138925,3138929,3138930,3138939,3138956,3138957,3138959,3138960,3138996,3139001,3139003,3139071,3139100,3139103,3139105,3139107,3139108,3139126,3139145,3139203,3139204,3139206,3139225,3139367,3141089,3142219,3142220,3142222,3142224,3141921"
"Paranephelium xestophyllum","3110.25326076077","seed mass","mg","Family","418","3966160,3966475,3966565,3966584,3964687,3968596,3968584,3968598,3968641,3968688,3968658,3968660,3968672,3968709,3968739,3968761,3965035,3963046,3965616,3965605,3965610,3966168,3963788,3963965,4414173,4406701,4406707,4430631,4430891,4430896,3107572,3107577,3107578,3107579,3119579,3151527,3209934,3209935,3209923,3209924,3209925,3209946,3209961,3470006,3478107,3228256,3487520,3491774,3239733,3239803,3239804,3257005,3257019,3257022,3926233,3930171,3930182,3931084,3931098,3945347,3963005,3963015,3963019,3963027,3963055,3963061,3801412,3889580,3889617,3172241,3172244,3172245,3172246,3181845,3191687,4407137,4414171,4431068,3868050,3867224,3867281,3868761,3869329,3868912,3868989,3869029,3869030,3869033,3869036,3869037,3869038,3872585,3874871,3876572,3876668,3876701,3876912,3879614,3879444,3193316,3883007,3889613,3892511,3892531,3891825,3900800,3918510,3923540,3924027,3924053,3924058,3924063,3924099,3925254,3926235,3926237,3925695,3926057,3926056,3926099,3926079,3926096,3926125,3926217,3926152,3926218,3926157,3926162,3927108,3926202,3926206,3926208,3926227,3926234,3942021,3942029,3943241,3943247,3943516,3943549,3942019,3942020,3936904,3938492,3936866,3938507,3942202,3942277,3942512,3942602,3942691,3942961,3943083,3943020,3943088,3943110,3943128,3943133,3943173,3943148,3943153,3943156,3943159,3943171,3943184,3943190,3943209,3943194,3943197,3943201,3943219,3943207,3943208,3943222,3943240,3943230,3943232,3943236,3943255,3943261,3943263,3943265,3943273,3943306,3943307,3943300,3943303,3943308,3943320,3943329,3943322,3943354,3943335,3943359,3943340,3943345,3943347,3943370,3943462,3943410,3940384,3941248,3941934,3941935,3941936,3944388,3944389,3944338,3944345,3943425,3943443,3943435,3943452,3943455,3943457,3943460,3943461,3943470,3943477,3943480,3943488,3943489,3943517,3943519,3943601,3943611,3943627,3943813,3944378,3944382,3944707,3944103,3944020,3944643,3945296,3945312,3945334,3945340,3953330,3953338,3953748,3954505,3963232,3144331,3145347,3145664,3145669,3152139,3152451,3152476,3152482,3152483,3152485,3152486,3152487,3152488,3152493,3152495,3152496,3152500,3152501,3152505,3152506,3152507,3153589,3153590,3155818,3171101,3184304,3184433,3208739,3227613,3227619,3237608,3238154,3231478,3241020,3242648,3243616,3243960,3244969,3244979,3245005,3245012,3245029,3245034,3245036,3244956,3244961,3244962,3246245,3246318,3246326,3246327,3246328,3246427,3250917,3249524,3250915,3260245,3261336,3704496,3704505,3704537,3742543,3744001,3869018,3923125,3926049,3102450,3102446,3103232,3103234,3104355,3104356,3104357,3110056,3110057,3110054,3114926,3117697,3117918,3117924,3117929,3117960,3120901,3120968,3119115,3126314,3126315,3126316,3126406,3127968,3128452,3128463,3132166,3133223,3135102,3135149,3136693,3136338,3137104,3137567,3137921,3137922,3138658,3138967,3138728,3138785,3138796,3138536,3138543,3138548,3138549,3138565,3138566,3138585,3138605,3138608,3138622,3138628,3138642,3139007,3139008,3139040,3139045,3138835,3138838,3138840,3138842,3138844,3138848,3138849,3138850,3138873,3138876,3138879,3138882,3138883,3138891,3138892,3138896,3138899,3138901,3138912,3138921,3138922,3138923,3138925,3138929,3138930,3138939,3138956,3138957,3138959,3138960,3138996,3139001,3139003,3139071,3139100,3139103,3139105,3139107,3139108,3139126,3139145,3139203,3139204,3139206,3139225,3139367,3141089,3142219,3142220,3142222,3142224,3141921"
"Parashorea malaanonan","1860","seed mass","mg","Species","1","3967956"
"Parashorea tomentella","5710","seed mass","mg","Species","1","3116668"
"Parastemon urophyllus","2536.14322477778","seed mass","mg","Family","27","3958157,3958163,3958188,3958219,3957312,3961763,3879325,3879326,3879364,3879365,3879375,3879376,3885016,3885076,3885135,3885136,3190906,3190912,3902143,3922189,3952391,3794476,3794485,3143271,3143273,3143027,3143030"
"Parinari excelsa","5600","seed mass","mg","Species","1","3902143"
"Parinari oblongifolia","5600","seed mass","mg","Genus","1","3902143"
"Parinari unknown<a0>mixed","5600","seed mass","mg","Genus","1","3902143"
"Parkia speciosa","540","seed mass","mg","Species","1","3902140"
"Parkia unknown<a0>mixed","442.218124181818","seed mass","mg","Genus","11","3901394,3901775,3901217,3902205,3902140,3902187,3902190,3902214,3133267,3133271,3138030"
"Pavetta wallichiana","219","seed mass","mg","Genus","1","3902533"
