species,reference,fruit_size_mm,fruit_size_min_mm,tdwg_l3
Calamus cheirophyllus,Henderson 2020,14.3,9.6,New Guinea
Calamus ciliaris,Henderson 2020,13.6,6.6,Sumatra
Calamus ciliaris,Henderson 2020,13.6,6.6,Java
Calamus comptus,Henderson 2020,8.8,6.2,Borneo
Calamus confusus,Henderson 2020,27,16.9,Sumatra
Calamus conirostris,Henderson 2020,31.3,14.3,Borneo
Calamus conspectus,Henderson 2020,45.2,18.6,Borneo
Calamus convallium,Henderson 2020,43.5,22.9,Borneo
Calamus crinitus,Henderson 2020,24,10.1,Borneo
Calamus crinitus,Henderson 2020,24,10.1,Sumatra
Calamus cristatus,Henderson 2020,23.7,12.4,Borneo
Calamus croftii,Henderson 2020,28.2,12.9,New Guinea
Calamus cumingianus,Henderson 2020,9,8,Philippines
Calamus cuthbertsonii,Henderson 2020,17.5,7,New Guinea
Calamus dasyacanthus,Henderson 2020,14.2,9.9,New Guinea
Calamus densiflora,Henderson 2020,16.2,7.6,Sumatra
Calamus depauperatus,Henderson 2020,21.2,10.4,New Guinea
Calamus didymocarpus,Henderson 2020,22.4,11.2,Sulawesi
Calamus diepenhorstii,Henderson 2020,26.9,12,Sumatra
Calamus diepenhorstii,Henderson 2020,26.9,12,Borneo
Calamus diepenhorstii,Henderson 2020,26.9,12,Philippines
Calamus discolor,Henderson 2020,12.7,6.2,Philippines
Calamus disjunctus,Henderson 2020,18.4,9.9,Borneo
Calamus distentus,Henderson 2020,13.4,10.2,New Guinea
Calamus divaricatus,Henderson 2020,13.9,9.8,Borneo
Calamus divergens,Henderson 2020,24.2,13.4,Sulawesi
Calamus dumetosus,Henderson 2020,27.6,18,Borneo
Calamus erinaceus,Henderson 2020,14,5,Sumatra
Calamus erinaceus,Henderson 2020,14,5,Borneo
Calamus erinaceus,Henderson 2020,14,5,Philippines
Calamus erioacanthus,Henderson 2020,27.8,9.5,Sumatra
Calamus erioacanthus,Henderson 2020,27.8,9.5,Borneo
Calamus erythrocarpus,Henderson 2020,19.4,12.4,New Guinea
Calamus essigii,Henderson 2020,14.4,10.5,New Guinea
Calamus exilis,Henderson 2020,21.8,7.8,Sumatra
Calamus exilis,Henderson 2020,21.8,7.8,Borneo
Calamus fertilis,Henderson 2020,14.1,8.4,New Guinea
Calamus filispadix,Henderson 2020,15.9,6.8,Philippines
Calamus flabellatus,Henderson 2020,18.6,7,Sumatra
Calamus flabellatus,Henderson 2020,18.6,7,Borneo
Calamus formicarius,Henderson 2020,19.4,11.8,Borneo
Calamus gajoensis,Henderson 2020,14.2,8.1,Sumatra
Calamus geniculatus,Henderson 2020,23.8,12,Sumatra
Calamus geniculatus,Henderson 2020,23.8,12,Borneo
Calamus gibbsianus,Henderson 2020,22,8.2,Borneo
Calamus gonospermus,Henderson 2020,25.7,15.1,Borneo
Calamus gracilipes,Henderson 2020,27.7,13.6,Sumatra
Calamus gracilipes,Henderson 2020,27.7,13.6,Borneo
Calamus hallierianus,Henderson 2020,19.6,9.2,Sumatra
Calamus hallierianus,Henderson 2020,19.6,9.2,Borneo
Calamus heatubunii,Henderson 2020,14.4,9.5,New Guinea
Calamus heteracanthopsis,Henderson 2020,12.9,7.4,Maluku
Calamus heteracanthopsis,Henderson 2020,12.9,7.4,New Guinea
Calamus heteracanthus,Henderson 2020,12.6,7.2,New Guinea
Calamus heteroideus,Henderson 2020,14.1,8.6,Sumatra
Calamus heteroideus,Henderson 2020,14.1,8.6,Java
Calamus hirsuteus,Henderson 2020,25.5,7.4,Sumatra
Calamus hirsuteus,Henderson 2020,25.5,7.4,Borneo
Calamus horrens,Henderson 2020,14.5,7.9,Sumatra
Calamus horrens,Henderson 2020,14.5,7.9,Java
Calamus impressus,Henderson 2020,18.8,7.3,Sulawesi
Calamus ingens,Henderson 2020,46.7,20.2,Borneo
Calamus inops,Henderson 2020,14.6,5.7,Sulawesi
Calamus insignis,Henderson 2020,15.3,6.2,Sumatra
Calamus insularis,Henderson 2020,15,13,Maluku
Calamus javensis,Henderson 2020,16.3,4.8,Sumatra
Calamus javensis,Henderson 2020,16.3,4.8,Java
Calamus javensis,Henderson 2020,16.3,4.8,Borneo
Calamus javensis,Henderson 2020,16.3,4.8,Philippines
Calamus johanis,Henderson 2020,12.6,9.4,Borneo
Calamus johndransfieldii,Henderson 2020,25.4,15.1,Sumatra
Calamus kandariensis,Henderson 2020,20,8.2,Sulawesi
Calamus karuensis,Henderson 2020,34.9,14.2,Sumatra
Calamus kebariensis,Henderson 2020,15.6,9.7,New Guinea
Calamus kinabaluensis,Henderson 2020,16.5,11.9,Borneo
Calamus kjellbergii,Henderson 2020,12,10.6,Sulawesi
Calamus klossii,Henderson 2020,18.1,10.3,New Guinea
Calamus koordersianus,Henderson 2020,16.8,9.9,Sulawesi
Calamus kostermansii,Henderson 2020,18.6,9,New Guinea
Calamus kunstleri,Henderson 2020,17.3,10,Sumatra
Calamus kunstleri,Henderson 2020,17.3,10,Borneo
Calamus lamprolepsis,Henderson 2020,16.3,10.8,Sulawesi
Calamus latus,Henderson 2020,25.5,21.2,Sumatra
Calamus lauterbachii,Henderson 2020,26.2,10.4,New Guinea
Calamus leloi,Henderson 2020,35.8,15.2,Borneo
Calamus leptostachys,Henderson 2020,7.9,6.7,Sulawesi
Calamus lobatus,Henderson 2020,9.2,8.3,Sulawesi
Calamus lobbianus,Henderson 2020,33.3,15.8,Sumatra
Calamus lobbianus,Henderson 2020,33.3,15.8,Borneo
Calamus loherianus,Henderson 2020,20.7,15.3,Philippines
Calamus longibracteatus,Henderson 2020,28.2,8.5,Borneo
Calamus longipes,Henderson 2020,29,9.3,Sumatra
Calamus longipes,Henderson 2020,29,9.3,Borneo
Calamus longipes,Henderson 2020,29,9.3,Philippines
Calamus longipinna,Henderson 2020,13.1,7.6,New Guinea
Calamus longiusculus,Henderson 2020,16,6.4,Sumatra
Calamus lucysmithiae,Henderson 2020,14.8,9.6,New Guinea
Calamus macrochlamys,Henderson 2020,15.2,8,New Guinea
Calamus macropterus,Henderson 2020,22.9,11.1,Sulawesi
Calamus macrosphaerion,Henderson 2020,24.9,17,Sulawesi
Calamus maculatus,Henderson 2020,23.2,12.7,Borneo
Calamus malawaliensis,Henderson 2020,10.2,6.1,Philippines
Calamus manan,Henderson 2020,32.3,17.6,Sumatra
Calamus manan,Henderson 2020,32.3,17.6,Borneo
Calamus manilensis,Henderson 2020,24.8,12,Philippines
Calamus marginatus,Henderson 2020,17.6,8.7,Sumatra
Calamus marginatus,Henderson 2020,17.6,8.7,Borneo
Calamus marginatus,Henderson 2020,17.6,8.7,Philippines
Calamus maturbongsii,Henderson 2020,15.8,11.6,New Guinea
Calamus megaphyllus,Henderson 2020,16.2,7.8,Philippines
Calamus melanochaetes,Henderson 2020,29.9,12.4,Philippines
Calamus melanochaetes,Henderson 2020,29.9,12.4,Sumatra
Calamus melanochaetes,Henderson 2020,29.9,12.4,Java
Calamus melanochaetes,Henderson 2020,29.9,12.4,Borneo
Calamus melanochaetes,Henderson 2020,29.9,12.4,Lesser Sundas
Calamus melanoloma,Henderson 2020,17.4,8,Java
Calamus melanorhynchus,Henderson 2020,13.2,10,Philippines
Calamus micracanthus,Henderson 2020,21.7,10.8,Sumatra
Calamus micracanthus,Henderson 2020,21.7,10.8,Borneo
Calamus micranthus,Henderson 2020,17.7,7.6,Sumatra
Calamus micranthus,Henderson 2020,17.7,7.6,Borneo
Calamus microsphaerion,Henderson 2020,9.1,5.1,Borneo
Calamus microsphaerion,Henderson 2020,9.1,5.1,Philippines
Calamus minahassae,Henderson 2020,17,9,Sulawesi
Calamus mirabilis,Henderson 2020,9.4,7.2,Sumatra
Calamus mirabilis,Henderson 2020,9.4,7.2,Java
Calamus mitis,Henderson 2020,13.9,7,Philippines
Calamus mosleyanus,Henderson 2020,28.7,9.7,Philippines
Calamus mosleyanus,Henderson 2020,28.7,9.7,Borneo
Calamus moszkowskianus,Henderson 2020,12.9,9,New Guinea
Calamus muricatus,Henderson 2020,11.7,7.5,Borneo
Calamus myriacanthus,Henderson 2020,10.6,6.2,Borneo
Calamus nanduensis,Henderson 2020,15,13,New Guinea
Calamus nannostachys,Henderson 2020,19,11.7,New Guinea
Calamus nanodendron,Henderson 2020,36.5,30.6,Borneo
Calamus nematospadix,Henderson 2020,10.8,6.7,Borneo
Calamus nudus,Henderson 2020,16.9,11.9,New Guinea
Calamus oblatus,Henderson 2020,35.1,26,Borneo
Calamus oblongus,Henderson 2020,26,7.5,Java
Calamus oblongus,Henderson 2020,26,7.5,Sumatra
Calamus oblongus,Henderson 2020,26,7.5,Borneo
Calamus oblongus,Henderson 2020,26,7.5,Philippines
Calamus oblongus,Henderson 2020,26,7.5,Sulawesi
Calamus ochrolepsis,Henderson 2020,24.8,14.8,Philippines
Calamus optimus,Henderson 2020,22.4,10,Borneo
Calamus oresbiopsis,Henderson 2020,14.6,9.9,New Guinea
Calamus oresbius,Henderson 2020,18.2,13.9,New Guinea
Calamus ornatus,Henderson 2020,40,13.7,Sumatra
Calamus ornatus,Henderson 2020,40,13.7,Borneo
Calamus ornatus,Henderson 2020,40,13.7,Java
Calamus ornatus,Henderson 2020,40,13.7,Philippines
Calamus ornatus,Henderson 2020,40,13.7,Sulawesi
Calamus oxleyanus,Henderson 2020,18.2,10.6,Sumatra
Calamus oxycoccus,Henderson 2020,23,8.4,Borneo
Calamus pandanosmus,Henderson 2020,21.9,15.3,Borneo
Calamus papuanas,Henderson 2020,13.9,10.6,New Guinea
Calamus parutan,Henderson 2020,11.7,9.1,Java
Calamus parutan,Henderson 2020,11.7,9.1,Lesser Sundas
Calamus paspalanthus,Henderson 2020,25.1,13.9,Sumatra
Calamus paspalanthus,Henderson 2020,25.1,13.9,Borneo
Calamus pedicellaris,Henderson 2020,14.2,7.7,Philippines
Calamus pedicellatus,Henderson 2020,10.4,5,Sulawesi
Calamus periacanthus,Henderson 2020,29.2,15.4,Sumatra
Calamus periacanthus,Henderson 2020,29.2,15.4,Borneo
Calamus pholidostachys,Henderson 2020,15.9,10.6,New Guinea
Calamus pilosellus,Henderson 2020,17.1,8.8,Borneo
Calamus pilosissimus,Henderson 2020,24.3,15.9,New Guinea
Calamus plicatus,Henderson 2020,28.1,7.8,Sumatra
Calamus plicatus,Henderson 2020,28.1,7.8,Borneo
Calamus plicatus,Henderson 2020,28.1,7.8,Philippines
Calamus poensis,Henderson 2020,15.4,7.9,Borneo
Calamus pogonacanthus,Henderson 2020,11.9,10.1,Borneo
Calamus politus,Henderson 2020,19,14,Philippines
Calamus polycladus,Henderson 2020,12.7,9.7,New Guinea
Calamus posoanus,Henderson 2020,11.6,8,Sulawesi
Calamus praetermissus,Henderson 2020,16.4,9.8,Borneo
Calamus pseudomollis,Henderson 2020,9.9,5.8,Sulawesi
Calamus pseudomollis,Henderson 2020,9.9,5.8,Maluku
Calamus psilocladus,Henderson 2020,9.8,8,Borneo
Calamus pygmaeus,Henderson 2020,10.2,7.3,Borneo
Calamus reinwardtii,Henderson 2020,17,9.9,Java
Calamus reticulatus,Henderson 2020,15.7,9.4,New Guinea
Calamus retroflexus,Henderson 2020,13.6,9.6,New Guinea
Calamus rhomboideus,Henderson 2020,31.1,14,Sumatra
Calamus rhomboideus,Henderson 2020,31.1,14,Java
Calamus rhomboideus,Henderson 2020,31.1,14,Borneo
Calamus robinsianus,Henderson 2020,9.4,6.2,Maluku
Calamus ruber,Henderson 2020,32.4,18.5,Sumatra
Calamus ruber,Henderson 2020,32.4,18.5,Java
Calamus rugosus,Henderson 2020,13.6,9.3,Sumatra
Calamus ruptilis,Henderson 2020,27.5,10.2,Borneo
Calamus ruptiloides,Henderson 2020,21.5,12.1,Borneo
Calamus sabalensis,Henderson 2020,10.4,8.9,Borneo
Calamus samian,Henderson 2020,15.6,12,Philippines
Calamus sandsii,Henderson 2020,19.3,7.9,Sulawesi
Calamus sarawakensis,Henderson 2020,13.1,5.7,Borneo
Calamus scabridulus,Henderson 2020,6.9,6,Sumatra
Calamus scabridulus,Henderson 2020,6.9,6,Borneo
Calamus scabrispathus,Henderson 2020,13.7,10.2,New Guinea
Calamus scapiger,Henderson 2020,30.3,18.6,Borneo
Calamus schlechterianus,Henderson 2020,12,9.2,New Guinea
Calamus scipionum,Henderson 2020,13.4,6.8,Sumatra
Calamus scipionum,Henderson 2020,13.4,6.8,Borneo
Calamus scipionum,Henderson 2020,13.4,6.8,Philippines
Calamus scleracanthus,Henderson 2020,16.8,9,Sulawesi
Calamus sedens,Henderson 2020,13.9,7.8,Sumatra
Calamus septimus,Henderson 2020,13,6.8,Sumatra
Calamus serpentinus,Henderson 2020,12,11.4,Borneo
Calamus serrulatus,Henderson 2020,13.5,8.1,New Guinea
Calamus sessiliflorus,Henderson 2020,24.5,19.5,Sumatra
Calamus siphonospathus,Henderson 2020,11.7,4.7,Philippines
Calamus siphonospathus,Henderson 2020,11.7,4.7,Sulawesi
Calamus sordidus,Henderson 2020,12.1,9.8,Borneo
Calamus sparsiflorus,Henderson 2020,14.4,8.3,Borneo
Calamus spectatissimus,Henderson 2020,25.2,14.4,Sumatra
Calamus spectatissimus,Henderson 2020,25.2,14.4,Borneo
Calamus spiculifer,Henderson 2020,13,11,New Guinea
Calamus suaveolens,Henderson 2020,9.2,5.7,Sulawesi
Calamus subangulatus,Henderson 2020,24.1,11.5,Sumatra
Calamus subangulatus,Henderson 2020,24.1,11.5,Borneo
Calamus sulawesiensis,Henderson 2020,12.9,9.3,Sulawesi
Calamus sumatranus,Henderson 2020,15.8,11.1,Sumatra
Calamus symphysipus,Henderson 2020,13,6.4,Philippines
Calamus symphysipus,Henderson 2020,13,6.4,Sulawesi
Calamus symphysipus,Henderson 2020,13,6.4,Maluku
Calamus tadulakoensis,Henderson 2020,13,11.2,Sulawesi
Calamus tenompokensis,Henderson 2020,13.2,7.2,Borneo
Calamus trachycoleus,Henderson 2020,13.9,7.5,Borneo
Calamus trigynus,Henderson 2020,13.1,10.3,Sulawesi
Calamus tumidus,Henderson 2020,23.7,16.6,Sumatra
Calamus unifarius,Henderson 2020,16.7,11,Sumatra
Calamus unifarius,Henderson 2020,16.7,11,Java
Calamus unifarius,Henderson 2020,16.7,11,Lesser Sundas
Calamus unijugus,Henderson 2020,34.1,17.1,Borneo
Calamus ursinus,Henderson 2020,18.7,12.1,Borneo
Calamus usitatus,Henderson 2020,12.1,5.8,Philippines
Calamus usitatus,Henderson 2020,12.1,5.8,Borneo
Calamus validus,Henderson 2020,21.4,13,Sulawesi
Calamus verticillaris,Henderson 2020,21.5,14,Sumatra
Calamus vestitus,Henderson 2020,17.1,9.2,New Guinea
Calamus vidalianus,Henderson 2020,19,12.6,Philippines
Calamus viminalis,Henderson 2020,13.1,7.2,Java
Calamus viminalis,Henderson 2020,13.1,7.2,Lesser Sundas
Calamus vinosus,Henderson 2020,23.7,15.7,Philippines
Calamus vitiensis,Henderson 2020,12.4,7.7,New Guinea
Calamus warburgii,Henderson 2020,11.6,7.2,Maluku
Calamus warburgii,Henderson 2020,11.6,7.2,New Guinea
Calamus wedaensis,Henderson 2020,18,10,Maluku
Calamus whitmorei,Henderson 2020,10.7,7.5,Sumatra
Calamus womersleyi,Henderson 2020,10.2,8.2,New Guinea
Calamus zebrinus,Henderson 2020,14.6,9.7,New Guinea
Calamus zieckii,Henderson 2020,10.4,6.6,New Guinea
Calamus zollingeri,Henderson 2020,12.9,7,Philippines
Calamus zollingeri,Henderson 2020,12.9,7,Sulawesi
Calamus zonatus,Henderson 2020,9.5,6.3,Borneo
Pinanga arinasae,Witono et al. 2002,17,8,Lesser Sundas
Pinanga bicolana,Fernando 1988,22,14,Philippines
Pinanga chaiana,Dransfield 1980,10,6,Borneo
Pinanga copelandii,Fernando 1988,25,10,Philippines
Pinanga coronata,Witono et al. 2002,15,6,Sumatra
Pinanga coronata,Witono et al. 2002,15,6,Java
Pinanga coronata,Witono et al. 2002,15,6,Lesser Sundas
Pinanga cucullata,Dransfield 1991,13,5,Borneo
Pinanga curranii,Fernando 1988,15,10,Philippines
Pinanga dumetosa,Dransfield 1980,15,7,Borneo
Pinanga egregia,Fernando 1994,16,8,Philippines
Pinanga glaucifolia,Fernando 1994,2,1.8,Philippines
Pinanga gruezoi,Adorador et al. 2020,18,7,Philippines
Pinanga javana,Witono et al. 2002,26,11,Java
Pinanga lepidota,Fernando et al. 2020,12,10,Borneo
Pinanga lepidota,Fernando et al. 2020,12,10,Philippines
Pinanga maculata,Fernando 1988,28,12,Philippines
Pinanga mooreana,Dransfield 1980,15,5,Borneo
Pinanga pachyphylla,Dransfield 1991,9,5,Borneo
Pinanga purpurea,Hendra 2002,11,7.5,Sumatra
Pinanga schwanerensis,Randi et al. 2019,20,7,Borneo
Pinanga sierramadreana,Fernando 1994,12,6,Philippines
Pinanga sobolifera,Fernando 1994,12,8,Philippines
Pinanga subintegra,Hendra 2002,10,8,Sumatra
Pinanga tenacinervis,Dransfield 1980,4,1.2,Borneo
Aristolochia chrismulleriana,Takeuchi 2013,39,32,New Guinea
Aristolochia crassinervia,Hou 1984,45,20,New Guinea
Aristolochia dielsiana,Hou 1984,300,40,New Guinea
Aristolochia engleriana,Hou 1984,95,20,New Guinea
Aristolochia foveolata,Hou 1984,40,15,Borneo
Aristolochia foveolata,Hou 1984,40,15,Philippines
Aristolochia gaudichaudii,Hou 1984,60,30,Maluku
Aristolochia gaudichaudii,Hou 1984,60,30,New Guinea
Aristolochia glaucifolia,Hou 1984,30,15,Sumatra
Aristolochia humilis,Hou 1984,25,15,Philippines
Aristolochia jackii,Hou 1984,60,25,Sumatra
Aristolochia jackii,Hou 1984,60,25,Borneo
Aristolochia jackii,Hou 1984,60,25,Philippines
Aristolochia jackii,Hou 1984,60,25,New Guinea
Aristolochia leytensis,Hou 1984,15,15,Philippines
Aristolochia linnemannii,Hou 1984,25,17,New Guinea
Aristolochia macgregorii,Hou 1984,15,10,Philippines
Aristolochia minutiflora,Hou 1984,25,12,Borneo
Aristolochia momandul,Hou 1984,90,35,Maluku
Aristolochia momandul,Hou 1984,90,35,New Guinea
Aristolochia papillifolia,Hou 1984,65,12,Borneo
Aristolochia philippinensis,Hou 1984,25,15,Philippines
Aristolochia rumphii,Hou 1984,22,15,Sulawesi
Aristolochia rumphii,Hou 1984,22,15,Lesser Sundas
Aristolochia rumphii,Hou 1984,22,15,Maluku
Aristolochia samarensis,Hou 1984,15,15,Philippines
Aristolochia sericea,Hou 1984,10,10,Philippines
Aristolochia singalangensis,Hou 1984,150,25,Sumatra
Aristolochia tagala,Hou 1984,40,20,Philippines
Aristolochia tagala,Hou 1984,40,20,Sumatra
Aristolochia tagala,Hou 1984,40,20,Borneo
Aristolochia tagala,Hou 1984,40,20,Java
Aristolochia tagala,Hou 1984,40,20,Sulawesi
Aristolochia tagala,Hou 1984,40,20,Maluku
Aristolochia tagala,Hou 1984,40,20,Lesser Sundas
Aristolochia tagala,Hou 1984,40,20,New Guinea
Aristolochia transtillifera,Hou 1984,35,12,Borneo
Aristolochia zollingeriana,Hou 1984,30,15,Philippines
Aristolochia zollingeriana,Hou 1984,30,15,Sumatra
Aristolochia zollingeriana,Hou 1984,30,15,Java
Begonia acaulis,Merrill and Perry 1943,20,10,New Guinea
Begonia acclivis,Hughes et al. 2010,15,15,Philippines
Begonia acidulenta,Sang and Kiew 2016_Batang Ai,28,12,Philippines
Begonia adamsensis,Magtoto et al. 2018,20,15,Philippines
Begonia addrinii,Sang and Kiew 2016_Lanjak Entimau,12,5,Philippines
Begonia adliniana,Repin et al. 2015_Kinabalu,15,8,Borneo
Begonia aiensis,Lin et al. 2017_Sarawak,30,15,Philippines
Begonia aigrono,Wilson et al. 2020,20,14,New Guinea
Begonia aketajawensis,Ardi et al. 2014_Reinwardtia,13,7,Maluku
Begonia alabensis,Repin et al. 2015_Crocker,33,23,Borneo
Begonia amphioxus,Sands 1990,13,5,Borneo
Begonia andersonii,Kiew and Julia 2007_Kuching,13,4,Borneo
Begonia androturba,Hughes et al. 2009_Palawan,28,6,Philippines
Begonia anthonyi,Kiew 2001_Limestone,20,12,Borneo
Begonia apiensis,Sang et al. 2018_Sarawak; Sang et al. 2013_Meliau,19,6,Borneo
Begonia aptera,Thomas and Ardi 2020_Phytotaxa; Wiriadinata and Girmansyah 2011,20,12,Sulawesi
Begonia aptera,Thomas and Ardi 2020_Phytotaxa; Wiriadinata and Girmansyah 2011,20,12,Maluku
Begonia archboldiana,Merrill and Perry 1943,7,7,New Guinea
Begonia arfakensis,Gagul et al. 2018,20,15,New Guinea
Begonia argenteomarginata,Gagul et al. 2018,20,15,New Guinea
Begonia argentii,Sang et al. 2018_Sarawak,22,18,Borneo
Begonia armykapii,Sang et al. 2016_Sarawak,8,4,Borneo
Begonia asaroensis,Gagul et al. 2018,20,15,New Guinea
Begonia atricha,Girmansyah et al. 2019,20,12,Java
Begonia atricha,Girmansyah et al. 2019,20,12,Sumatra
Begonia awongii,Ahmed et al. 2015_Brunei,18,7,Borneo
Begonia bahakensis,Ahmed et al. 2015_Brunei,12,10,Borneo
Begonia baik,Lin et al. 2015_Sarawak,9,6,Borneo
Begonia bakunensis,Sang et al. 2015_Sarawak,17,12,Borneo
Begonia balangcodiae,Liu et al. 2019_balangcodiae,20,10,Philippines
Begonia balgooyi,Ardi et al. 2018_Phytotaxa; Thomas et al. 2018_Matarombeo,10,3.5,Sulawesi
Begonia baliensis,Girmansyah 2009_Bali_Lombok,15,10,Lesser Sundas
Begonia bangsamoro,Buenavista et al. 2021,7,5,Philippines
Begonia baramensis,Ahmed et al. 2015_Brunei,45,21,Borneo
Begonia basintaliana,Repin et al. 2015_Tawau Hills,22,8,Borneo
Begonia baturongensis,Kiew 2001_Limestone,28,16,Borneo
Begonia bawangensis,Hughes et al. 2020,26,23,Borneo
Begonia bayae,Hughes et al. 2020; Sang and Kiew 2016_Batang Ai,18,8,Philippines
Begonia bayae,Hughes et al. 2020; Sang and Kiew 2016_Batang Ai,18,8,Borneo
Begonia beijnenii,Ang et al. 2020_beijnenii,8,4,Philippines
Begonia belagaensis,Sang et al. 2015_Sarawak,18,14,Borneo
Begonia beludruvenea,Hughes et al. 2015_Eur. J. Bot.,13,10,Sumatra
Begonia benaratensis,Sang et al. 2018_Sarawak; Sang et al. 2013_Meliau,14,7,Borneo
Begonia bengohensis,Sang et al. 2015_Sarawak,22,10,Borneo
Begonia benitotanii,Rubite et al. 2021_Bucas Grande,38,20,Philippines
Begonia berhamanii,Kiew 2001_Limestone,16,10,Borneo
Begonia blancii,Hughes et al. 2011_Palawan,15,15,Philippines
Begonia bonthainensis,Thomas and Ardi 2020_Phytotaxa; Ardi and Thomas 2019_Reinwardtia,17,7,Sulawesi
Begonia bosuangiana,Repin et al. 2015_Crocker,12,5,Borneo
Begonia bracteata,Girmansyah 2012_Floribunda,19,10,Java
Begonia bracteata,Girmansyah 2012_Floribunda,19,10,Sumatra
Begonia brangbosangensis,Girmansyah 2016_Gard. Bull. Sing.,20,8,Lesser Sundas
Begonia brassii,Merrill and Perry 1943,6,3,New Guinea
Begonia bruneiana,Ahmed et al. 2015_Brunei,13,7,Borneo
Begonia burabod,Rubite et al. 2021_Samar,14,10,Philippines
Begonia burtii,Kiew and Julia 2007_Kuching,13,6,Borneo
Begonia cabanillasii,Ang et al. 2020_cabanillasii,8,6,Philippines
Begonia calcarea,Hughes et al. 2020; Yiing et al. 2018; Kiew and Geri 2003_Bau,21,11,Borneo
Begonia caramoanensis,Rubite et al. 2020_caramoanensis,14,4,Philippines
Begonia cauliflora,Sands 1990,16,7,Borneo
Begonia celata,Sang and Kiew 2016_Lanjak Entimau,11,6,Philippines
Begonia chaiana,Kiew and Julia 2007_Kuching,20,15,Borneo
Begonia chakensis,Sang and Yiing 2015_Murum Dam,11,6,Borneo
Begonia chambersiae,Takeuchi 2012_chambersiae,10,3.5,Borneo
Begonia chiasmogyna,Hughes 2006,16,12,Sulawesi
Begonia cleopatrae,Hughes et al. 2010,15,15,Philippines
Begonia colorata,Naive et al. 2018,13,5,Philippines
Begonia comestibilis,Thomas and Ardi 2020_Phytotaxa,26,6,Sulawesi
Begonia compacta,Sang and Kiew 2016_Batang Ai,25,12,Philippines
Begonia congesta,Hughes et al. 2020; Sang and Geri 2003_Bau,25,17,Borneo
Begonia conipila,Sang et al. 2018_Sarawak; Sang et al. 2013_Meliau,20,10,Borneo
Begonia conniegeriae,Sang et al. 2018_Sarawak; Sang et al. 2013_Meliau,22,12,Borneo
Begonia coriacea,Girmansyah 2009_Bali_Lombok,11,10,Java
Begonia coriacea,Girmansyah 2009_Bali_Lombok,11,10,Lesser Sundas
Begonia coronensis,Hughes et al. 2010,5,5,Philippines
Begonia corrugata,Kiew and Julia 2007_Kuching,20,12,Borneo
Begonia crassii,Sang and Kiew 2016_Lanjak Entimau,26,10,Borneo
Begonia crockerensis,Repin et al. 2015_Crocker,12,4,Borneo
Begonia cruentospirituna,Lin and Peng 2019_W Sarawak,12,10,Philippines
Begonia culasiensis,Peng et al. 2017_Panay,19,3,Philippines
Begonia curvifolia,Ardi and Hughes 2018,10,10,Sumatra
Begonia cyanescens,Ahmed et al. 2015_Brunei,30,9,Borneo
Begonia danumensis,Hughes et al. 2020; Yun et al. 2015_Danum,23,14,Borneo
Begonia dasycaulis,Yiing et al. 2018,17,10,Borneo
Begonia daunhitam,Wang et al. 2020_W Kalimantan,18,12,Borneo
