"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","fruit_size_mm","fruit_size_min_mm","fruit_size_reference"
"Chisocheton patens","Meliaceae","Chisocheton","patens","CP, 50ha","both",NA,"NR",NA,NA,NA
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","CP, 50ha","both",NA,"AR",NA,NA,NA
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus","50ha","unlogged",NA,NA,NA,NA,NA
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Cinnamomum iners","Lauraceae","Cinnamomum","iners","CP, 50ha","both",NA,"AR",NA,NA,NA
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum","50ha","unlogged",NA,NA,NA,NA,NA
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","CP, 50ha","both",NA,"NR",NA,NA,NA
"Clausena excavata","Rutaceae","Clausena","excavata","CP, 50ha","both",NA,"NR",NA,NA,NA
"Clausena unknown","Rutaceae","Clausena","unknown","50ha","unlogged",NA,NA,NA,NA,NA
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius","CP","logged",NA,"NR, AR",NA,NA,NA
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis","CP, 50ha","both",NA,"no seedling data, AR",9,6,"Kew Bull. 21(3): 363 (1968)."
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2","50ha","unlogged",NA,NA,NA,NA,NA
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","CP, 50ha","both",NA,"AR",NA,NA,NA
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis","50ha","unlogged",NA,NA,NA,NA,NA
"Crateva magna","Capparaceae","Crateva","magna","50ha","unlogged",NA,NA,NA,NA,NA
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense","50ha","unlogged",NA,NA,NA,NA,NA
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Croton argyratus","Euphorbiaceae","Croton","argyratus","CP","logged",NA,"NR",NA,NA,NA
"Croton oblongus","Euphorbiaceae","Croton","oblongus","50ha","unlogged",NA,NA,NA,NA,NA
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Crudia bantamensis","Fabacea","Crudia","bantamensis","50ha","unlogged",NA,NA,NA,NA,NA
"Crudia tenuipes","Fabaceae","Crudia","tenuipes","CP, 50ha","both",NA,"AR",NA,NA,NA
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora","50ha","unlogged",NA,NA,NA,NA,NA
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea","CP, 50ha","both",NA,"AR, NR",35,7,"de Kok (2015) Gard. Bull. Sing"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia","CP, 50ha","both",NA,"no seedling data, NR",40,25,"Kostermans (1968) Reinwardtia 7"
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia","CP","logged",NA,"AR",25,15,"Kostermans (1968) Reinwardtia 7"
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana","50ha","unlogged",NA,NA,22,15,"de Kok (2016) Kew Bull. 71"
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus","CP, 50ha","both",NA,"AR",NA,NA,NA
"Cynometra elmeri","Fabaceae","Cynometra","elmeri","50ha","unlogged",NA,NA,NA,NA,NA
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis","CP, 50ha","both",NA,"NR",NA,NA,NA
"Dacryodes laxa","Burseraceae","Dacryodes","laxa","50ha","unlogged",NA,NA,NA,NA,NA
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata","CP, 50ha","both",NA,"AR",NA,NA,NA
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Dacryodes species 1","Burseraceae","Dacryodes","species 1","50ha","unlogged",NA,NA,NA,NA,NA
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum","50ha","unlogged",NA,NA,5,3,"Scott (1980)_Scott (1979)"
"Dehaasia caesia","Lauraceae","Dehaasia","caesia","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa","50ha","unlogged",NA,NA,60,30,"Kostermans (1973) Bot. Jahrb. Syst. 93"
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata","CP, 50ha","both",NA,"AR, NR",45,25,"Li et al (2008) Flora of China"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans","50ha","unlogged",NA,NA,NA,NA,NA
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed","CP, 50ha","both",NA,"NR",NA,NA,NA
"Dialium indum","Fabaceae","Dialium","indum","50ha","unlogged",NA,NA,NA,NA,NA
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis","50ha","unlogged",NA,NA,NA,NA,NA
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Dillenia species 1","Dilleniaceae","Dillenia","species 1","CP, 50ha","both",NA,"NR",NA,NA,NA
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus","50ha","unlogged",NA,NA,NA,NA,NA
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration","AR, NR",NA,NA,NA
"Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata","CP, 50ha","both",NA,"NR",NA,NA,NA
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica","CP, 50ha","both",NA,"NR, AR",NA,NA,NA
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","CP, 50ha","both",NA,"NR, no seedling data, AR",NA,NA,NA
"Diospyros curranii","Ebenaceae","Diospyros","curranii","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Diospyros daemona","Ebenaceae","Diospyros","daemona","50ha","unlogged",NA,NA,NA,NA,NA
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura","CP, 50ha","both",NA,"NR",NA,NA,NA
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii","50ha","unlogged",NA,NA,NA,NA,NA
