"binomial_name","family","genus","species","species_origin","logging_status","flower_colour","flower_colour_reference"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora","CP, 50ha","both","",NA
"Diospyros curranii","Ebenaceae","Diospyros","curranii","CP, 50ha","both","",NA
"Diospyros daemona","Ebenaceae","Diospyros","daemona","50ha","unlogged","",NA
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura","CP, 50ha","both","",NA
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii","50ha","unlogged","",NA
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia","CP, 50ha","both","",NA
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia","CP, 50ha","both","",NA
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens","CP, 50ha","both","",NA
"Diospyros muricata","Ebenaceae","Diospyros","muricata","CP, 50ha","both","",NA
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga","CP, 50ha","both","",NA
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina","CP, 50ha","both","",NA
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa","50ha","unlogged","",NA
"Diospyros species 1","Ebenaceae","Diospyros","species 1","50ha","unlogged","",NA
"Diospyros species 2","Ebenaceae","Diospyros","species 2","50ha","unlogged","",NA
"Diospyros species 3","Ebenaceae","Diospyros","species 3","50ha","unlogged","",NA
"Diospyros species 4","Ebenaceae","Diospyros","species 4","50ha","unlogged","",NA
"Diospyros species 6","Ebenaceae","Diospyros","species 6","50ha","unlogged","",NA
"Diospyros species 7","Ebenaceae","Diospyros","species 7","50ha","unlogged","",NA
"Diospyros squamifolia ","Ebenaceae","Diospyros","squamifolia ","50ha","unlogged","",NA
"Diospyros toposia","Ebenaceae","Diospyros","toposia","CP, 50ha","both","",NA
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata","CP, 50ha","both","",NA
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed","CP","logged","",NA
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii","50ha","unlogged","",NA
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed","50ha","unlogged","",NA
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus","CP","logged","",NA
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer","CP, IF","logged","",NA
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed","CP","logged","",NA
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense","CP, 50ha","both","",NA
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum","50ha","unlogged","",NA
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao","CP, 50ha","both","",NA
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed","50ha","unlogged","",NA
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii","CP","logged","",NA
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata","CP, 50ha, IF","both","",NA
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi","CP, 50ha","both","",NA
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa","CP, 50ha","both","",NA
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia","CP, 50ha","both","",NA
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata","50ha","unlogged","",NA
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed","CP, 50ha","both","",NA
"Duabanga moluccana","Lythraceae","Duabanga","moluccana","CP, 50ha","both","",NA
"Durio graveolens","Malvaceae","Durio","graveolens","CP, 50ha","both","",NA
"Durio unknown mixed","Malvaceae","Durio","unknown mixed","CP, 50ha","both","",NA
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum","CP, 50ha","both","",NA
"Dysoxylum grande","Meliaceae","Dysoxylum","grande","50ha","unlogged","",NA
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium","50ha","unlogged","",NA
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed","CP, 50ha","both","",NA
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens","50ha","unlogged","",NA
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis","CP, 50ha","both","",NA
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed","CP, 50ha","both","",NA
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum","CP, 50ha","both","",NA
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis","50ha","unlogged","",NA
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana","50ha","unlogged","",NA
"Epicharis parasitica","Meliaceae","Epicharis","parasitica","50ha","unlogged","",NA
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis","CP, 50ha","both","",NA
"Erythroxylum cuneatum","Erythroxylaceae","Erythroxylum","cuneatum","50ha","unlogged","",NA
"Eurycoma longifolia","Simaroubaceae","Eurycoma","longifolia","50ha","unlogged","",NA
"Eusideroxylon zwageri","Lauraceae","Eusideroxylon","zwageri","CP, 50ha","both","",NA
"Fagraea unknown mixed","Gentianaceae","Fagraea","unknown mixed","50ha","unlogged","",NA
"Ficus beccarii","Moraceae","Ficus","beccarii","50ha","unlogged","",NA
"Ficus lepicarpa","Moraceae","Ficus","lepicarpa","50ha","unlogged","",NA
"Ficus mixed","Moraceae","Ficus","mixed","50ha","unlogged","",NA
"Ficus obscura","Moraceae","Ficus","obscura","50ha","unlogged","",NA
"Ficus sinuata","Moraceae","Ficus","sinuata","50ha","unlogged","",NA
"Ficus species 1","Moraceae","Ficus","species 1","50ha","unlogged","",NA
"Ficus species 2","Moraceae","Ficus","species 2","50ha","unlogged","",NA
"Ficus species 3","Moraceae","Ficus","species 3","50ha","unlogged","",NA
"Ficus species 4","Moraceae","Ficus","species 4","50ha","unlogged","",NA
"Ficus species 5","Moraceae","Ficus","species 5","50ha","unlogged","",NA
"Ficus species 6","Moraceae","Ficus","species 6","50ha","unlogged","",NA
"Ficus species 7","Moraceae","Ficus","species 7","50ha","unlogged","",NA
"Ficus species 8","Moraceae","Ficus","species 8","50ha","unlogged","",NA
"Ficus stolonifera","Moraceae","Ficus","stolonifera","50ha","unlogged","",NA
"Ficus unknown mixed","Moraceae","Ficus","unknown mixed","CP","logged","",NA
"Ficus variegata","Moraceae","Ficus","variegata","CP, 50ha","both","",NA
"Flacourtia rukam","Salicaceae","Flacourtia","rukam","50ha","unlogged","",NA
"Fordia brachybotrys","Fabaceae","Fordia","brachybotrys","CP, 50ha","both","",NA
"Fordia species 1","Fabaceae","Fordia","species 1","50ha","unlogged","",NA
"Fordia species 3","Fabaceae","Fordia","species 3","50ha","unlogged","",NA
