"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status","dispersal_syndrome","Reference"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata",NA,"AR","CP, 50ha","both",NA,NA
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa",NA,"AR, NR","CP, 50ha","both",NA,NA
"Dacryodes species 1","Burseraceae","Dacryodes","species 1",NA,NA,"50ha","unlogged",NA,NA
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed",NA,"AR, NR","CP","logged",NA,NA
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum",NA,NA,"50ha","unlogged",NA,NA
"Dehaasia caesia","Lauraceae","Dehaasia","caesia",NA,"AR, NR","CP, 50ha","both",NA,NA
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa",NA,NA,"50ha","unlogged",NA,NA
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata",NA,"AR, NR","CP, 50ha","both",NA,NA
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed",NA,"AR, NR","CP, 50ha","both",NA,NA
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica",NA,"AR, NR","CP, 50ha","both",NA,NA
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans",NA,NA,"50ha","unlogged",NA,NA
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed",NA,"NR","CP, 50ha","both",NA,NA
"Dialium indum","Fabaceae","Dialium","indum",NA,NA,"50ha","unlogged",NA,NA
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed",NA,NA,"50ha","unlogged",NA,NA
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa",NA,"NR, AR","CP, 50ha","both",NA,NA
"Dillenia species 1","Dilleniaceae","Dillenia","species 1",NA,"NR","CP, 50ha","both",NA,NA
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus",NA,"NR, AR","CP, 50ha","both",NA,NA
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus",NA,NA,"50ha","unlogged",NA,NA
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","ActiveRestoration, NaturalRegeneration","AR, NR","CP, 50ha, IF","both",NA,NA
"Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata",NA,"NR","CP, 50ha","both",NA,NA
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica",NA,"NR, AR","CP, 50ha","both",NA,NA
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis",NA,NA,"50ha","unlogged",NA,NA
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora",NA,"NR, no seedling data, AR","CP, 50ha","both",NA,NA
"Diospyros curranii","Ebenaceae","Diospyros","curranii",NA,"AR, NR","CP, 50ha","both",NA,NA
