"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dialium indum","Fabaceae","Dialium","indum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dillenia species 1","Dilleniaceae","Dillenia","species 1",NA,"50ha, CP","both",NA,"Lambir dataset"
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus","Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Tritaxis denticulata","Euphorbiaceae","Tritaxis","denticulata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros curranii","Ebenaceae","Diospyros","curranii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros daemona","Ebenaceae","Diospyros","daemona",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros muricata","Ebenaceae","Diospyros","muricata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 1","Ebenaceae","Diospyros","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 2","Ebenaceae","Diospyros","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 3","Ebenaceae","Diospyros","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 4","Ebenaceae","Diospyros","species 4",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 6","Ebenaceae","Diospyros","species 6",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros species 7","Ebenaceae","Diospyros","species 7",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros squamifolia ","Ebenaceae","Diospyros","squamifolia ",NA,"50ha","unlogged",NA,"Lambir dataset"
"Diospyros toposia","Ebenaceae","Diospyros","toposia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii",NA,"50ha","unlogged",NA,"Lambir dataset"
