"binomial_name","family.x","genus","species","history_at_INDFORSUS_site","species_origin","logging_status","flowering_at_size_class","reference"
"Nephelium ramboutan-ake","Sapindaceae","Nephelium","ramboutan-ake",NA,"50ha, CP","both",NA,"Lambir dataset"
"Nothaphoebe canescens","Lauraceae","Nothaphoebe","canescens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Nothaphoebe heterophylla","Lauraceae","Nothaphoebe","heterophylla",NA,"50ha","unlogged",NA,"Lambir dataset"
"Nothaphoebe unknown","Lauraceae","Nothaphoebe","unknown",NA,"50ha","unlogged",NA,"Lambir dataset"
"Nothaphoebe umbelliflora","Lauraceae","Nothaphoebe","umbelliflora",NA,"50ha, CP","both",NA,"Lambir dataset"
"Nothaphoebe unknown mixed","Lauraceae","Nothaphoebe","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Nyssa javanica","Nyssaceae","Nyssa","javanica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ochanostachys amentacea","Olacaceae","Ochanostachys","amentacea",NA,"50ha, CP","both","III","Lambir dataset"
"Octomeles sumatrana","Tetramelaceae","Octomeles","sumatrana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Oreocnide trinervis","Urticaceae","Oreocnide","trinervis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ormosia bancana","Fabaceae","Ormosia","bancana",NA,"50ha, CP","both",NA,"Lambir dataset"
"Orophea corymbosa","Annonaceae","Orophea","corymbosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Orophea creaghii","Annonaceae","Orophea","creaghii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Orophea myriantha","Annonaceae","Orophea","myriantha",NA,"50ha, CP","both",NA,"Lambir dataset"
"Palaquium beccarianum","Sapotaceae","Palaquium","beccarianum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Palaquium dasyphyllum","Sapotaceae","Palaquium","dasyphyllum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Palaquium maingayi","Sapotaceae","Palaquium","maingayi",NA,"50ha, CP","both",NA,"Lambir dataset"
"Palaquium sericeum","Sapotaceae","Palaquium","sericeum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Palaquium unknown mixed","Sapotaceae","Palaquium","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Pangium edule","Achariaceae","Pangium","edule",NA,"50ha","unlogged",NA,"Lambir dataset"
"Paranephelium macrophyllum","Sapindaceae","Paranephelium","macrophyllum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Paranephelium xestophyllum","Sapindaceae","Paranephelium","xestophyllum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Parashorea malaanonan","Dipterocarpaceae","Parashorea","malaanonan","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Parashorea tomentella","Dipterocarpaceae","Parashorea","tomentella","NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Parastemon urophyllus","Chrysobalanaceae","Parastemon","urophyllus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Parinari excelsa","Chrysobalanaceae","Parinari","excelsa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Parinari oblongifolia","Chrysobalanaceae","Parinari","oblongifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Parinari unknown mixed","Chrysobalanaceae","Parinari","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Parkia speciosa","Fabaceae","Parkia","speciosa",NA,"50ha","unlogged","II","Lambir dataset"
"Parkia unknown mixed","Fabaceae","Parkia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Pavetta wallichiana","Rubiaceae","Pavetta","wallichiana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Payena Unknown species1","Sapotaceae","Payena","Unknown species1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Payena acuminata","Sapotaceae","Payena","acuminata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Payena microphylla","Sapotaceae","Payena","microphylla",NA,"50ha, CP","both",NA,"Lambir dataset"
"Payena unknown mixed","Sapotaceae","Payena","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Peltophorum racemosum","Fabaceae","Peltophorum","racemosum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Pentace adenophora","Malvaceae","Pentace","adenophora",NA,"50ha, CP","both",NA,"Lambir dataset"
"Pentace laxiflora","Malvaceae","Pentace","laxiflora","NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Pentace unknown mixed","Malvaceae","Pentace","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Phaeanthus ophthalmicus","Annonaceae","Phaeanthus","ophthalmicus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Phaeanthus splendens","Annonaceae","Phaeanthus","splendens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Phaleria  capitata","Thymelaeaceae","Phaleria ","capitata",NA,"CP","logged",NA,"Lambir dataset"
"Phoebe grandis","Lauraceae","Phoebe","grandis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Planchonia brevistipitata","Lecythidaceae","Planchonia","brevistipitata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Planchonia unknown","Lecythidaceae","Planchonia","unknown",NA,"50ha","unlogged",NA,"Lambir dataset"
"Planchonia unknown mixed","Lecythidaceae","Planchonia","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Planchonia valida","Lecythidaceae","Planchonia","valida",NA,"50ha","unlogged",NA,"Lambir dataset"
"Urophyllum sandahanicum","Rubiaceae","Urophyllum","sandahanicum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Polyalthia borneensis","Annonaceae","Polyalthia","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Polyalthia cauliflora","Annonaceae","Polyalthia","cauliflora",NA,"50ha, CP","both",NA,"Lambir dataset"
"Polyalthia insignis","Annonaceae","Polyalthia","insignis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Polyalthia microtus","Annonaceae","Polyalthia","microtus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Polyalthia obliqua","Annonaceae","Polyalthia","obliqua",NA,"50ha, CP","both",NA,"Lambir dataset"
"Polyalthia saprosma","Annonaceae","Polyalthia","saprosma",NA,"50ha","unlogged",NA,"Lambir dataset"
"Polyalthia species 3","Annonaceae","Polyalthia","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Polyosma integrifolia","Escalloniaceae","Polyosma","integrifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Pometia pinnata","Sapindaceae","Pometia","pinnata",NA,"50ha, CP","both","III","Lambir dataset"
"Popowia hirta","Annonaceae","Popowia","hirta",NA,"50ha","unlogged",NA,"Lambir dataset"
"Popowia odoardi","Annonaceae","Popowia","odoardi",NA,"50ha","unlogged",NA,"Lambir dataset"
"Popowia pisocarpa","Annonaceae","Popowia","pisocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Popowia unknown mixed","Annonaceae","Popowia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Prainea limpato","Moraceae","Prainea","limpato",NA,"50ha","unlogged",NA,"Lambir dataset"
"Praravinia suberosa","Rubiaceae","Praravinia","suberosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Praravinia unknown mixed","Rubiaceae","Praravinia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Praravinia verruculosa","Rubiaceae","Praravinia","verruculosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Prismatomeris beccariana","Rubiaceae","Prismatomeris","beccariana",NA,"50ha","unlogged",NA,"Lambir dataset"
"Prismatomeris species 1","Rubiaceae","Prismatomeris","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Prunus polystachya","Rosaceae","Prunus","polystachya",NA,"CP","logged",NA,"Lambir dataset"
"Prunus unknown mixed","Rosaceae","Prunus","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Pseuduvaria pamattonis","Annonaceae","Pseuduvaria","pamattonis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Pseuduvaria reticulata","Annonaceae","Pseuduvaria","reticulata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Psychotria species 1","Rubiaceae","Psychotria","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Psychotria species 2","Rubiaceae","Psychotria","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Psydrax dicoccos","Rubiaceae","Psydrax","dicoccos",NA,"50ha, CP","both",NA,"Lambir dataset"
"Pternandra coerulescens","Melastomataceae","Pternandra","coerulescens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Pterospermum javanicum","Malvaceae","Pterospermum","javanicum","ActiveRestoration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Pterospermum subpeltatum","Malvaceae","Pterospermum","subpeltatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Pterospermum unknown mixed","Malvaceae","Pterospermum","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Pterygota alata","Malvaceae","Pterygota","alata",NA,"CP","logged",NA,"Lambir dataset"
"Ptychopyxis arborea","Euphorbiaceae","Ptychopyxis","arborea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Putranjiva roxburghii","Putranjivaceae","Putranjiva","roxburghii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Pyrenaria acuminata","Theaceae","Pyrenaria","acuminata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Quercus argentata","Fagaceae","Quercus","argentata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Quercus unknown mixed","Fagaceae","Quercus","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Reinwardtiodendron humile","Meliaceae","Reinwardtiodendron","humile",NA,"50ha, CP","both",NA,"Lambir dataset"
"Rennellia borneensis","Rubiaceae","Rennellia","borneensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Rinorea bengalensis","Violaceae","Rinorea","bengalensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Rinorea congesta","Violaceae","Rinorea","congesta",NA,"50ha","unlogged",NA,"Lambir dataset"
"Rinorea unknown","Violaceae","Rinorea","unknown",NA,"50ha","unlogged",NA,"Lambir dataset"
"Ridsdalea pseudoternifolia","Rubiaceae","Ridsdalea","pseudoternifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ryparosa acuminata","Achariaceae","Ryparosa","acuminata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ryparosa hullettii","Achariaceae","Ryparosa","hullettii",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ryparosa unknown mixed","Achariaceae","Ryparosa","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sageraea elliptica","Annonaceae","Sageraea","elliptica",NA,"CP","logged",NA,"Lambir dataset"
"Sageraea lanceolata","Annonaceae","Sageraea","lanceolata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sageraea sarawakensis","Annonaceae","Sageraea","sarawakensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Santiria laevigata","Burseraceae","Santiria","laevigata",NA,"50ha, CP","both","IV","Lambir dataset"
"Santiria species 1","Burseraceae","Santiria","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Santiria tomentosa","Burseraceae","Santiria","tomentosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Saraca declinata","Fabaceae","Saraca","declinata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Saurauia agamae","Actinidiaceae","Saurauia","agamae",NA,"50ha","unlogged",NA,"Lambir dataset"
"Saurauia sp","Actinidiaceae","Saurauia","sp",NA,"50ha","unlogged",NA,"Lambir dataset"
"Saurauia unknown mixed","Actinidiaceae","Saurauia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Scaphium longiflorum","Malvaceae","Scaphium","longiflorum",NA,"CP","logged",NA,"Lambir dataset"
"Scaphium macropodum","Malvaceae","Scaphium","macropodum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Scaphium unknown mixed","Malvaceae","Scaphium","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Scleropyrum pentandrum","Santalaceae","Scleropyrum","pentandrum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Scorodocarpus borneensis","Olacaceae","Scorodocarpus","borneensis",NA,"50ha, CP","both","II","Lambir dataset"
"Semecarpus bunburyanus","Anacardiaceae","Semecarpus","bunburyanus",NA,"50ha, CP","both",NA,"Lambir dataset"
"Anthoshorea agamae","Dipterocarpaceae","Anthoshorea","agamae",NA,"50ha, CP","both",NA,"Lambir dataset"
"Rubroshorea argentifolia","Dipterocarpaceae","Rubroshorea","argentifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
"Shorea atrinervosa","Dipterocarpaceae","Shorea","atrinervosa",NA,"50ha, CP","both",NA,"Lambir dataset"
"Rubroshorea beccariana","Dipterocarpaceae","Rubroshorea","beccariana",NA,"CP","logged",NA,"Lambir dataset"
"Richetia faguetiana","Dipterocarpaceae","Richetia","faguetiana","Unlogged, ActiveRestoration, NaturalRegeneration","50ha, CP, IF","both",NA,"Lambir dataset"
"Rubroshorea fallax","Dipterocarpaceae","Rubroshorea","fallax","NaturalRegeneration","CP, IF","logged",NA,"Lambir dataset"
"Rubroshorea gibbosa","Dipterocarpaceae","Rubroshorea","gibbosa","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Rubroshorea johorensis","Dipterocarpaceae","Rubroshorea","johorensis","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Rubroshorea leprosula","Dipterocarpaceae","Rubroshorea","leprosula","ActiveRestoration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Shorea leptoderma","Dipterocarpaceae","Shorea","leptoderma",NA,"50ha","unlogged",NA,"Lambir dataset"
"Rubroshorea macrophylla","Dipterocarpaceae","Rubroshorea","macrophylla","ActiveRestoration","CP, IF","logged",NA,"Lambir dataset"
"Rubroshorea macroptera","Dipterocarpaceae","Rubroshorea","macroptera",NA,"CP","logged",NA,"Lambir dataset"
"Rubroshorea mecistopteryx","Dipterocarpaceae","Rubroshorea","mecistopteryx",NA,"CP","logged",NA,"Lambir dataset"
"Rubroshorea ovalis","Dipterocarpaceae","Rubroshorea","ovalis",NA,"CP","logged",NA,"Lambir dataset"
"Rubroshorea ovata","Dipterocarpaceae","Rubroshorea","ovata",NA,"CP","logged",NA,"Lambir dataset"
"Rubroshorea parvifolia","Dipterocarpaceae","Rubroshorea","parvifolia","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Rubroshorea pauciflora","Dipterocarpaceae","Rubroshorea","pauciflora","ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Shorea seminis","Dipterocarpaceae","Shorea","seminis","Unlogged","50ha, CP, IF","both",NA,"Lambir dataset"
"Shorea sp","Dipterocarpaceae","Shorea","sp",NA,"CP","logged",NA,"Lambir dataset"
"Shorea superba","Dipterocarpaceae","Shorea","superba",NA,"50ha, CP","both","V","Lambir dataset"
"Anthoshorea symingtonii","Dipterocarpaceae","Anthoshorea","symingtonii","Unlogged","50ha, IF","unlogged",NA,"Lambir dataset"
"Shorea unknown mixed","Dipterocarpaceae","Shorea","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Sindora irpicina","Fabaceae","Sindora","irpicina",NA,"50ha, CP","both",NA,"Lambir dataset"
"Sloanea javanica","Elaeocarpaceae","Sloanea","javanica",NA,"50ha","unlogged","II","Lambir dataset"
"Spathiostemon javensis","Euphorbiaceae","Spathiostemon","javensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Stemonurus grandifolius","Stemonuraceae","Stemonurus","grandifolius",NA,"50ha, CP","both",NA,"Lambir dataset"
"Stemonurus malaccensis","Stemonuraceae","Stemonurus","malaccensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Stemonurus scorpioides","Stemonuraceae","Stemonurus","scorpioides",NA,"50ha, CP","both",NA,"Lambir dataset"
"Stemonurus unknown mixed","Stemonuraceae","Stemonurus","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Sterculia lanceolata","Malvaceae","Sterculia","lanceolata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sterculia cordata","Malvaceae","Sterculia","cordata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Sterculia rubiginosa","Malvaceae","Sterculia","rubiginosa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sterculia stipulata","Malvaceae","Sterculia","stipulata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sterculia unknown mixed","Malvaceae","Sterculia","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"Paratrophis glabra","Moraceae","Paratrophis","glabra",NA,"50ha","unlogged",NA,"Lambir dataset"
"Strombosia ceylanica","Olacaceae","Strombosia","ceylanica",NA,"50ha","unlogged",NA,"Lambir dataset"
"Suregada multiflora","Euphorbiaceae","Suregada","multiflora",NA,"50ha","unlogged",NA,"Lambir dataset"
"Sympetalandra unijuga","Fabaceae","Sympetalandra","unijuga",NA,"CP","logged",NA,"Lambir dataset"
"Symplocos fasciculata","Symplocaceae","Symplocos","fasciculata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Symplocos odoratissima","Symplocaceae","Symplocos","odoratissima",NA,"50ha","unlogged",NA,"Lambir dataset"
"Symplocos unknown mixed","Symplocaceae","Symplocos","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Syzygium barringtonioides","Myrtaceae","Syzygium","barringtonioides",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium christmannii","Myrtaceae","Syzygium","christmannii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium creaghii","Myrtaceae","Syzygium","creaghii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium elliptilimbum","Myrtaceae","Syzygium","elliptilimbum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium elopurae","Myrtaceae","Syzygium","elopurae",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium fastigiatum","Myrtaceae","Syzygium","fastigiatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium hirtum","Myrtaceae","Syzygium","hirtum",NA,"50ha, CP","both",NA,"Lambir dataset"
"Syzygium imperiale","Myrtaceae","Syzygium","imperiale",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium kiauense","Myrtaceae","Syzygium","kiauense",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium kunstleri","Myrtaceae","Syzygium","kunstleri",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium leptostemon","Myrtaceae","Syzygium","leptostemon",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium panzeri","Myrtaceae","Syzygium","panzeri",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium penibukanense","Myrtaceae","Syzygium","penibukanense",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium pustulatum","Myrtaceae","Syzygium","pustulatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium scortechinii","Myrtaceae","Syzygium","scortechinii",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium tawahense","Myrtaceae","Syzygium","tawahense",NA,"50ha","unlogged",NA,"Lambir dataset"
"Syzygium unknown mixed","Myrtaceae","Syzygium","unknown mixed",NA,"50ha, CP","both",NA,"Lambir dataset"
"Tabernaemontana macrocarpa","Apocynaceae","Tabernaemontana","macrocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Tabernaemontana pauciflora","Apocynaceae","Tabernaemontana","pauciflora",NA,"50ha","unlogged",NA,"Lambir dataset"
"Tabernaemontana unknown mixed","Apocynaceae","Tabernaemontana","unknown mixed",NA,"50ha","unlogged",NA,"Lambir dataset"
"unknown unknown","Magnoliaceae","unknown","unknown",NA,"CP","logged",NA,"Lambir dataset"
"unknown unknown mixed","Magnoliaceae","unknown","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Teijsmanniodendron bogoriense","Lamiaceae","Teijsmanniodendron","bogoriense",NA,"50ha","unlogged",NA,"Lambir dataset"
"Teijsmanniodendron pteropodum","Lamiaceae","Teijsmanniodendron","pteropodum",NA,"CP","logged",NA,"Lambir dataset"
"Teijsmanniodendron unknown mixed","Lamiaceae","Teijsmanniodendron","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Terminalia citrina","Combretaceae","Terminalia","citrina",NA,"50ha","unlogged",NA,"Lambir dataset"
"Terminalia ivorensis","Combretaceae","Terminalia","ivorensis",NA,"50ha","unlogged",NA,"Lambir dataset"
"Terminalia phellocarpa","Combretaceae","Terminalia","phellocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Terminalia species 1","Combretaceae","Terminalia","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Terminalia species 2","Combretaceae","Terminalia","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Timonius lasianthoides","Rubiaceae","Timonius","lasianthoides",NA,"50ha","unlogged",NA,"Lambir dataset"
"Timonius wallichianus","Rubiaceae","Timonius","wallichianus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Triomma malaccensis","Burseraceae","Triomma","malaccensis",NA,"50ha, CP","both","IV","Lambir dataset"
"Dalrympelea sphaerocarpa","Staphyleaceae","Dalrympelea","sphaerocarpa",NA,"50ha","unlogged",NA,"Lambir dataset"
"Unknown species 8","Annonaceae","Unknown","species 8",NA,"CP","logged",NA,"Lambir dataset"
"Unknown unknown mixed","Annonaceae","Unknown","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Urophyllum  glabrum","Rubiaceae","Urophyllum ","glabrum",NA,"CP","logged",NA,"Lambir dataset"
"Urophyllum  unknown mixed","Rubiaceae","Urophyllum ","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Vatica albiramis","Dipterocarpaceae","Vatica","albiramis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Vatica chartacea","Dipterocarpaceae","Vatica","chartacea",NA,"50ha","unlogged",NA,"Lambir dataset"
"Vatica dulitensis","Dipterocarpaceae","Vatica","dulitensis",NA,"CP","logged",NA,"Lambir dataset"
"Vatica oblongifolia","Dipterocarpaceae","Vatica","oblongifolia",NA,"50ha","unlogged",NA,"Lambir dataset"
"Vatica sarawakensis","Dipterocarpaceae","Vatica","sarawakensis",NA,"50ha, CP","both",NA,"Lambir dataset"
"Vatica umbonata","Dipterocarpaceae","Vatica","umbonata",NA,"50ha","unlogged",NA,"Lambir dataset"
"Vitex pinnata","Lamiaceae","Vitex","pinnata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Walsura pachycaulon","Meliaceae","Walsura","pachycaulon",NA,"50ha","unlogged",NA,"Lambir dataset"
"Walsura pinnata","Meliaceae","Walsura","pinnata",NA,"50ha, CP","both",NA,"Lambir dataset"
"Walsura species 1","Meliaceae","Walsura","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum adenotus","Polygalaceae","Xanthophyllum","adenotus",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum flavescens","Polygalaceae","Xanthophyllum","flavescens",NA,"50ha, CP","both",NA,"Lambir dataset"
"Xanthophyllum pachycarpon","Polygalaceae","Xanthophyllum","pachycarpon",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum reticulatum","Polygalaceae","Xanthophyllum","reticulatum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 1","Polygalaceae","Xanthophyllum","species 1",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 2","Polygalaceae","Xanthophyllum","species 2",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 3","Polygalaceae","Xanthophyllum","species 3",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 4","Polygalaceae","Xanthophyllum","species 4",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 5","Polygalaceae","Xanthophyllum","species 5",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 6","Polygalaceae","Xanthophyllum","species 6",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum species 7","Polygalaceae","Xanthophyllum","species 7",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xanthophyllum unknown mixed","Polygalaceae","Xanthophyllum","unknown mixed",NA,"CP","logged",NA,"Lambir dataset"
"Xanthophyllum vitellinum","Polygalaceae","Xanthophyllum","vitellinum",NA,"50ha","unlogged",NA,"Lambir dataset"
"Xylopia ferruginea","Annonaceae","Xylopia","ferruginea",NA,"50ha, CP","both",NA,"Lambir dataset"
"Ziziphus augustifolia","Rhamnaceae","Ziziphus","augustifolia",NA,"50ha, CP","both",NA,"Lambir dataset"
