"binomial_name","family","genus","species","mean_wood_density_g_cm_3","species_origin","logging_status","history_at_IF_site","history_at_CP_site","reference_wood_density"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis",0.58,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis",NA,"50ha","unlogged",NA,NA,""
"Crateva magna","Capparaceae","Crateva","magna",0.34,"50ha","unlogged",NA,NA,"TRY"
"Cratoxylum cochinchinense","Hypericaceae","Cratoxylum","cochinchinense",0.69,"50ha","unlogged",NA,NA,"WDD, TRY"
"Cratoxylum unknown mixed","Hypericaceae","Cratoxylum","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Croton argyratus","Euphorbiaceae","Croton","argyratus",0.66,"CP","logged",NA,"NR","WDD, TRY"
"Croton oblongus","Euphorbiaceae","Croton","oblongus",NA,"50ha","unlogged",NA,NA,""
"Croton unknown mixed","Euphorbiaceae","Croton","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Crudia bantamensis","Fabacea","Crudia","bantamensis",NA,"50ha","unlogged",NA,NA,""
"Crudia tenuipes","Fabaceae","Crudia","tenuipes",0.86,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Crudia unknown mixed","Fabaceae","Crudia","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Crypteronia rubiflora","Crypteroniaceae","Crypteronia","rubiflora",NA,"50ha","unlogged",NA,NA,""
"Cryptocarya ferrea","Lauraceae","Cryptocarya","ferrea",0.64,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Cryptocarya pulchrinervia","Lauraceae","Cryptocarya","pulchrinervia",NA,"CP, 50ha","both",NA,"no seedling data, NR",""
"Cryptocarya strictifolia","Lauraceae","Cryptocarya","strictifolia",NA,"CP","logged",NA,"AR",""
"Cryptocarya teysmanniana","Lauraceae","Cryptocarya","teysmanniana",NA,"50ha","unlogged",NA,NA,""
"Cryptocarya unknown mixed","Lauraceae","Cryptocarya","unknown mixed",NA,"CP","logged",NA,"AR",""
"Cyathocalyx magnifructus","Annonaceae","Cyathocalyx","magnifructus",NA,"CP, 50ha","both",NA,"AR",""
"Cynometra elmeri","Fabaceae","Cynometra","elmeri",NA,"50ha","unlogged",NA,NA,""
"Cynometra mirabilis","Fabaceae","Cynometra","mirabilis",NA,"CP, 50ha","both",NA,"NR",""
"Dacryodes laxa","Burseraceae","Dacryodes","laxa",0.68,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dacryodes rostrata","Burseraceae","Dacryodes","rostrata",0.54,"CP, 50ha","both",NA,"AR","WDD, TRY"
"Dacryodes rugosa","Burseraceae","Dacryodes","rugosa",0.74,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Dacryodes species 1","Burseraceae","Dacryodes","species 1",NA,"50ha","unlogged",NA,NA,""
"Dacryodes unknown mixed","Burseraceae","Dacryodes","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Dalrympelea sphaerocarpa","Staphyleaceae","Dalrympelea","sphaerocarpa",0.36,"50ha","unlogged",NA,NA,"TRY"
"Decaspermum parviflorum","Myrtaceae","Decaspermum","parviflorum",NA,"50ha","unlogged",NA,NA,""
"Dehaasia caesia","Lauraceae","Dehaasia","caesia",0.66,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Dehaasia gigantocarpa","Lauraceae","Dehaasia","gigantocarpa",NA,"50ha","unlogged",NA,NA,""
"Dehaasia incrassata","Lauraceae","Dehaasia","incrassata",0.46,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Dehaasia unknown mixed","Lauraceae","Dehaasia","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Dendrocnide elliptica","Urticaceae","Dendrocnide","elliptica",NA,"CP, 50ha","both",NA,"AR, NR",""
"Dendrocnide stimulans","Urticaceae","Dendrocnide","stimulans",NA,"50ha","unlogged",NA,NA,""
"Dendrocnide unknown mixed","Urticaceae","Dendrocnide","unknown mixed",NA,"CP, 50ha","both",NA,"NR",""
"Dialium indum","Fabaceae","Dialium","indum",0.82,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dialium unknown mixed","Fabaceae","Dialium","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Didymocheton gaudichaudianus","Meliaceae","Didymocheton","gaudichaudianus",NA,"50ha","unlogged",NA,NA,""
"Dillenia borneensis","Dilleniaceae","Dillenia","borneensis",0.61,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dillenia excelsa","Dilleniaceae","Dillenia","excelsa",0.63,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Dillenia species 1","Dilleniaceae","Dillenia","species 1",NA,"CP, 50ha","both",NA,"NR",""
"Dimocarpus dentatus","Sapindaceae","Dimocarpus","dentatus",NA,"CP, 50ha","both",NA,"NR, AR",""
"Dimocarpus fumatus","Sapindaceae","Dimocarpus","fumatus",NA,"50ha","unlogged",NA,NA,""
"Dimocarpus longan","Sapindaceae","Dimocarpus","longan",0.71,"CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration","AR, NR","WDD, TRY"
"Diospyros andamanica","Ebenaceae","Diospyros","andamanica",0.6,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Diospyros borneensis","Ebenaceae","Diospyros","borneensis",0.55,"50ha","unlogged",NA,NA,"WDD, TRY"
"Diospyros cauliflora","Ebenaceae","Diospyros","cauliflora",0.54,"CP, 50ha","both",NA,"NR, no seedling data, AR","WDD, TRY"
"Diospyros curranii","Ebenaceae","Diospyros","curranii",0.62,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Diospyros daemona","Ebenaceae","Diospyros","daemona",NA,"50ha","unlogged",NA,NA,""
"Diospyros dictyoneura","Ebenaceae","Diospyros","dictyoneura",0.54,"CP, 50ha","both",NA,"NR","TRY"
"Diospyros diepenhorstii","Ebenaceae","Diospyros","diepenhorstii",0.57,"50ha","unlogged",NA,NA,"WDD, TRY"
"Diospyros elliptifolia","Ebenaceae","Diospyros","elliptifolia",NA,"CP, 50ha","both",NA,"AR, NR",""
"Diospyros euphlehia","Ebenaceae","Diospyros","euphlehia",NA,"CP, 50ha","both",NA,"AR",""
"Diospyros frutescens","Ebenaceae","Diospyros","frutescens",NA,"CP, 50ha","both",NA,"NR",""
"Diospyros muricata","Ebenaceae","Diospyros","muricata",NA,"CP, 50ha","both",NA,"AR",""
"Diospyros oblonga","Ebenaceae","Diospyros","oblonga",0.75,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Diospyros peregrina","Ebenaceae","Diospyros","peregrina",0.72,"CP, 50ha","both",NA,"AR, NR","WDD"
"Diospyros pyrrhocarpa","Ebenaceae","Diospyros","pyrrhocarpa",0.64,"50ha","unlogged",NA,NA,"WDD, TRY"
"Diospyros species 1","Ebenaceae","Diospyros","species 1",NA,"50ha","unlogged",NA,NA,""
"Diospyros species 2","Ebenaceae","Diospyros","species 2",NA,"50ha","unlogged",NA,NA,""
"Diospyros species 3","Ebenaceae","Diospyros","species 3",NA,"50ha","unlogged",NA,NA,""
"Diospyros species 4","Ebenaceae","Diospyros","species 4",NA,"50ha","unlogged",NA,NA,""
"Diospyros species 6","Ebenaceae","Diospyros","species 6",NA,"50ha","unlogged",NA,NA,""
"Diospyros species 7","Ebenaceae","Diospyros","species 7",NA,"50ha","unlogged",NA,NA,""
"Diospyros squamifolia","Ebenaceae","Diospyros","squamifolia ",NA,"50ha","unlogged",NA,NA,""
"Diospyros toposia","Ebenaceae","Diospyros","toposia",0.7,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Diospyros tuberculata","Ebenaceae","Diospyros","tuberculata",0.45,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Diospyros unknown mixed","Ebenaceae","Diospyros","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Diospyros wallichii","Ebenaceae","Diospyros","wallichii",0.6,"50ha","unlogged",NA,NA,"WDD, TRY"
"Diplospora unknown mixed","Rubiaceae","Diplospora","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Dipterocarpus applanatus","Dipterocarpaceae","Dipterocarpus","applanatus",0.56,"CP","logged",NA,"AR, NR","WDD, TRY"
"Dipterocarpus caudifer","Dipterocarpaceae","Dipterocarpus","caudifer",NA,"CP, IF","logged","ActiveRestoration, NaturalRegeneration","AR, NR",""
"Dipterocarpus unknown mixed","Dipterocarpaceae","Dipterocarpus","unknown mixed",NA,"CP","logged",NA,"AR, NR",""
"Discospermum malaccense","Rubiaceae","Discospermum","malaccense",NA,"CP, 50ha","both",NA,"AR, NR",""
"Dracontomelon costatum","Anacardiaceae","Dracontomelon","costatum",0.47,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dracontomelon dao","Anacardiaceae","Dracontomelon","dao",0.52,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Dracontomelon unknown mixed","Anacardiaceae","Dracontomelon","unknown mixed",NA,"50ha","unlogged",NA,NA,""
"Drepananthus havilandii","Annonaceae","Drepananthus","havilandii",0.6,"CP","logged",NA,"NR","TRY"
"Dryobalanops lanceolata","Dipterocarpaceae","Dryobalanops","lanceolata",0.58,"CP, 50ha, IF","both","ActiveRestoration","AR, NR, no seedling data","WDD, TRY"
"Drypetes castilloi","Putranjivaceae","Drypetes","castilloi",NA,"CP, 50ha","both",NA,"NR",""
"Drypetes eriocarpa","Putranjivaceae","Drypetes","eriocarpa",NA,"CP, 50ha","both",NA,"AR",""
"Drypetes longifolia","Putranjivaceae","Drypetes","longifolia",0.66,"CP, 50ha","both",NA,"AR, NR, no seedling data","WDD, TRY"
"Drypetes subcrenata","Putranjivaceae","Drypetes","subcrenata",NA,"50ha","unlogged",NA,NA,""
"Drypetes unknown mixed","Putranjivaceae","Drypetes","unknown mixed",NA,"CP, 50ha","both",NA,"AR, NR",""
"Duabanga moluccana","Lythraceae","Duabanga","moluccana",0.33,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Durio graveolens","Malvaceae","Durio","graveolens",0.56,"CP, 50ha","both",NA,"NR","WDD, TRY"
"Durio unknown mixed","Malvaceae","Durio","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Dysoxylum cyrtobotryum","Meliaceae","Dysoxylum","cyrtobotryum",NA,"CP, 50ha","both",NA,"NR, AR",""
"Dysoxylum grande","Meliaceae","Dysoxylum","grande",0.65,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dysoxylum oppositifolium","Meliaceae","Dysoxylum","oppositifolium",0.76,"50ha","unlogged",NA,NA,"WDD, TRY"
"Dysoxylum unknown mixed","Meliaceae","Dysoxylum","unknown mixed",NA,"CP, 50ha","both",NA,"NR, AR",""
"Elaeocarpus brunnescens","Elaeocarpaceae","Elaeocarpus","brunnescens",NA,"50ha","unlogged",NA,NA,""
"Elaeocarpus stipularis","Elaeocarpaceae","Elaeocarpus","stipularis",0.44,"CP, 50ha","both",NA,"NR, AR","WDD, TRY"
"Elaeocarpus unknown mixed","Elaeocarpaceae","Elaeocarpus","unknown mixed",NA,"CP, 50ha","both",NA,"AR",""
"Endospermum diadenum","Euphorbiaceae","Endospermum","diadenum",0.36,"CP, 50ha","both",NA,"AR, NR","WDD, TRY"
"Engelhardia danumensis","Juglandaceae","Engelhardia","danumensis",NA,"50ha","unlogged",NA,NA,""
"Epicharis cumingiana","Meliaceae","Epicharis","cumingiana",NA,"50ha","unlogged",NA,NA,""
"Epicharis parasitica","Meliaceae","Epicharis","parasitica",NA,"50ha","unlogged",NA,NA,""
"Erycibe borneensis","Convolvulaceae","Erycibe","borneensis",NA,"CP, 50ha","both",NA,"NR",""
