"binomial_name","family","genus","species","species_origin","logging_status","history_at_IF_site","history_at_CP_site","level_used","mean_dry_seed_mass_mg","reference_seed_mass"
"Brownlowia peltata","Malvaceae","Brownlowia","peltata","CP, 50ha","both",NA,"NR, AR","Family",881.714199688546,"BIEN"
"Brownlowia stipulata","Malvaceae","Brownlowia","stipulata","CP, 50ha","both",NA,"NR","Family",881.714199688546,"BIEN"
"Buchanania arborescens","Anacardiaceae","Buchanania","arborescens","50ha","unlogged",NA,NA,"Species",238.03,"Schrader, J., Moeljono, S., Tambing, J., Sattler, C., Kreft, H. (2020) A new dataset on plant occurrences on small islands, including species abundances and functional traits across different spatial scales. Biodiversity Data Journal 8, e55275. doi: 10.3897/BDJ.8.e55275, Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Buchanania sessilifolia","Anacardiaceae","Buchanania","sessilifolia","CP, 50ha","both",NA,"NR","Genus",256.4,"BIEN"
"Buchanania unknown mixed","Anacardiaceae","Buchanania","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Callicarpa longifolia","Lamiaceae","Callicarpa","longifolia","50ha","unlogged",NA,NA,"Species",0.39,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396., Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Callicarpa pentandra","Lamiaceae","Callicarpa","pentandra","CP, 50ha","both",NA,"AR, NR","Family",25.4065073459038,"BIEN"
"Callicarpa unknown mixed","Lamiaceae","Callicarpa","unknown mixed","CP","logged",NA,"AR",NA,NA,NA
"Calophyllaceae venulosum","Calophyllaceae","Calophyllaceae","venulosum","50ha","unlogged",NA,NA,"NA",NA,"BIEN"
"Calophyllum blancoi","Calophyllaceae","Calophyllum","blancoi","CP, 50ha","both",NA,"NR, AR","Genus",3760.18529197872,"BIEN"
"Calophyllum gracilipes","Calophyllaceae","Calophyllum","gracilipes","CP, 50ha","both",NA,"AR","Genus",3760.18529197872,"BIEN"
"Calophyllum pulcherrimum","Calophyllaceae","Calophyllum","pulcherrimum","50ha","unlogged",NA,NA,"Genus",3760.18529197872,"BIEN"
"Calophyllum soulattri","Calophyllaceae","Calophyllum","soulattri","CP, 50ha","both",NA,"NR","Genus",3760.18529197872,"BIEN"
"Calophyllum species 1","Clusiaceae","Calophyllum","species 1","50ha","unlogged",NA,NA,"Genus",3760.18529197872,"BIEN"
"Calophyllum species 2","Clusiaceae","Calophyllum","species 2","50ha","unlogged",NA,NA,"Genus",3760.18529197872,"BIEN"
"Cananga odorata","Annonaceae","Cananga","odorata","50ha","unlogged",NA,NA,"Species",61.6,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Canarium decumanum","Burseraceae","Canarium","decumanum","CP","logged",NA,"AR, NR","Genus",5413.04,"BIEN"
"Canarium denticulatum","Burseraceae","Canarium","denticulatum","CP, IF","logged","ActiveRestoration","AR, NR","Species",10100,"Moles, A. T., D. S. Falster, M. R. Leishman, and M. Westoby. 2004. Small-seeded species produce more seeds per square metre of canopy per year, but not per individual per lifetime. Journal of Ecology 92:384-396."
"Canarium odontophyllum","Burseraceae","Canarium","odontophyllum","CP","logged",NA,"AR, NR, no seedling data","Genus",5413.04,"BIEN"
"Canarium unknown mixed","Burseraceae","Canarium","unknown mixed","CP","logged",NA,"AR, NR",NA,NA,NA
"Carallia borneensis","Rhizophoraceae","Carallia","borneensis","50ha","unlogged",NA,NA,"Family",17460.309515,"BIEN"
"Carallia species 1","Rhizophoraceae","Carallia","species 1","50ha","unlogged",NA,NA,"Family",17460.309515,"BIEN"
"Caryodaphnopsis tonkinensis","Lauraceae","Caryodaphnopsis","tonkinensis","CP, 50ha","both",NA,"NR, no seedling data, AR","Family",1244.48787274336,"BIEN"
"Casearia grewiifolia","Salicaceae","Casearia","grewiifolia","CP, 50ha","both",NA,"AR","Genus",11.2636,"BIEN"
"Castanopsis hypophoenicea","Fagaceae","Castanopsis","hypophoenicea","CP, 50ha","both",NA,"AR, NR","Genus",1350.3275,"BIEN"
"Castanopsis motleyana","Fagaceae","Castanopsis","motleyana","CP","logged",NA,"NR","Genus",1350.3275,"BIEN"
"Castanopsis unknown mixed","Fagaceae","Castanopsis","unknown mixed","50ha","unlogged",NA,NA,NA,NA,NA
"Chionanthus curvicarpus","Oleaceae","Chionanthus","curvicarpus","50ha","unlogged",NA,NA,"Genus",550,"BIEN"
"Chionanthus macrocarpus","Oleaceae","Chionanthus","macrocarpus","50ha","unlogged",NA,NA,"Genus",550,"BIEN"
"Chionanthus pluriflorus","Oleaceae","Chionanthus","pluriflorus","CP, 50ha","both",NA,"AR, NR","Genus",550,"BIEN"
"Chionanthus unknown mixed","Oleaceae","Chionanthus","unknown mixed","CP, 50ha","both",NA,"NR",NA,NA,NA
"Chisocheton ceramicus","Meliaceae","Chisocheton","ceramicus","50ha","unlogged",NA,NA,"Family",704.921018041667,"BIEN"
"Chisocheton macranthus","Meliaceae","Chisocheton","macranthus","CP, 50ha","both",NA,"AR, NR","Family",704.921018041667,"BIEN"
"Chisocheton patens","Meliaceae","Chisocheton","patens","CP, 50ha","both",NA,"NR","Family",704.921018041667,"BIEN"
"Chisocheton pentandrus","Meliaceae","Chisocheton","pentandrus","CP, 50ha","both",NA,"AR","Family",704.921018041667,"BIEN"
"Chisocheton polyandrus","Meliaceae","Chisocheton","polyandrus","50ha","unlogged",NA,NA,"Family",704.921018041667,"BIEN"
"Chisocheton sarawakanus","Meliaceae","Chisocheton","sarawakanus","CP, 50ha","both",NA,"AR, NR","Family",704.921018041667,"BIEN"
"Chisocheton unknown mixed","Meliaceae","Chisocheton","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Cinnamomum iners","Lauraceae","Cinnamomum","iners","CP, 50ha","both",NA,"AR","Species",262,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
"Cinnamomum racemosum","Lauraceae","Cinnamomum","racemosum","50ha","unlogged",NA,NA,"Genus",1520.18968181818,"BIEN"
"Cinnamomum unknown mixed","Lauraceae","Cinnamomum","unknown mixed","CP, 50ha","both",NA,"NR",NA,NA,NA
"Clausena excavata","Rutaceae","Clausena","excavata","CP, 50ha","both",NA,"NR","Family",124.165051964912,"BIEN"
"Clausena unknown","Rutaceae","Clausena","unknown","50ha","unlogged",NA,NA,"Family",124.165051964912,"BIEN"
"Cleistanthus hirsutulus","Phyllanthaceae","Cleistanthus","hirsutulus","CP, 50ha","both",NA,"AR, NR","Family",39.4013353648649,"BIEN"
"Cleistanthus oblongifolius","Phyllanthaceae","Cleistanthus","oblongifolius","CP","logged",NA,"NR, AR","Family",39.4013353648649,"BIEN"
"Cleistanthus podopyxis","Phyllanthaceae","Cleistanthus","podopyxis","CP, 50ha","both",NA,"no seedling data, AR","Family",39.4013353648649,"BIEN"
"Cleistanthus species 2","Phyllanthaceae","Cleistanthus","species 2","50ha","unlogged",NA,NA,"Family",39.4013353648649,"BIEN"
"Cleistanthus unknown mixed","Phyllanthaceae","Cleistanthus","unknown mixed","CP, 50ha","both",NA,"AR, NR",NA,NA,NA
"Coelostegia borneensis","Malvaceae","Coelostegia","borneensis","CP, 50ha","both",NA,"AR","Family",881.714199688546,"BIEN"
"Cowiea borneensis","Rubiaceae","Cowiea","borneensis","50ha","unlogged",NA,NA,"Family",59.1893790915751,"BIEN"
"Crateva magna","Capparaceae","Crateva","magna","50ha","unlogged",NA,NA,"Species",26.39,"Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008)., Royal Botanical Gardens KEW. Seed Information Database (SID), http://data.kew.org/sid/ accessed May 2014, Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2011)., Royal Botanic Gardens Kew. (2019) Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (06 2019)"
