original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Shorea leptoderma,Dipterocarpaceae,Shorea,leptoderma,Dipterocarpaceae,Shorea,leptoderma,,NA,50ha,unlogged
Shorea macrophylla,Dipterocarpaceae,Shorea,macrophylla,Dipterocarpaceae,Rubroshorea,macrophylla,Shorea macrophylla is a synonym of Rubroshorea macrophylla,ActiveRestoration,"CP, IF",logged
Shorea macroptera,Dipterocarpaceae,Shorea,macroptera,Dipterocarpaceae,Rubroshorea,macroptera,Shorea macroptera is a synonym of Rubroshorea macroptera,NA,CP,logged
Shorea mecistopteryx,Dipterocarpaceae,Shorea,mecistopteryx,Dipterocarpaceae,Rubroshorea,mecistopteryx,Shorea mecistopteryx is a synonym of Rubroshorea mecistopteryx,NA,CP,logged
Shorea ovalis,Dipterocarpaceae,Shorea,ovalis,Dipterocarpaceae,Rubroshorea,ovalis,Shorea ovalis is a synonym of Rubroshorea ovalis,NA,CP,logged
Shorea ovata,Dipterocarpaceae,Shorea,ovata,Dipterocarpaceae,Rubroshorea,ovata,Shorea ovata is a synonym of Rubroshorea ovata,NA,CP,logged
Shorea parvifolia,Dipterocarpaceae,Shorea,parvifolia,Dipterocarpaceae,Rubroshorea,parvifolia,Shorea parvifolia is a synonym of Rubroshorea parvifolia,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Shorea pauciflora,Dipterocarpaceae,Shorea,pauciflora,Dipterocarpaceae,Rubroshorea,pauciflora,Shorea pauciflora is a synonym of Rubroshorea pauciflora,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Shorea seminis,Dipterocarpaceae,Shorea,seminis,Dipterocarpaceae,Shorea,seminis,,Unlogged,"50ha, CP, IF",both
Shorea sp,Dipterocarpaceae,Shorea,sp,Dipterocarpaceae,Shorea,sp,not identified to species level,NA,CP,logged
Shorea superba,Dipterocarpaceae,Shorea,superba,Dipterocarpaceae,Shorea,superba,,NA,"50ha, CP",both
Shorea symingtonii,Dipterocarpaceae,Shorea,symingtonii,Dipterocarpaceae,Anthoshorea,symingtonii,Shorea symingtonii is a synonym of Anthoshorea symingtonii,Unlogged,"50ha, IF",unlogged
Shorea unknown mixed,Dipterocarpaceae,Shorea,unknown mixed,Dipterocarpaceae,Shorea,unknown mixed,not identified to species level,NA,"50ha, CP",both
Sindora irpicina,Fabaceae,Sindora,irpicina,Fabaceae,Sindora,irpicina,,NA,"50ha, CP",both
Sloanea javanica,Elaeocarpaceae,Sloanea,javanica,Elaeocarpaceae,Sloanea,javanica,,NA,50ha,unlogged
Spathiostemon javensis,Euphorbiaceae,Spathiostemon,javensis,Euphorbiaceae,Spathiostemon,javensis,,NA,"50ha, CP",both
Stemonurus grandifolius,Stemonuraceae,Stemonurus,grandifolius,Stemonuraceae,Stemonurus,grandifolius,,NA,"50ha, CP",both
Stemonurus malaccensis,Stemonuraceae,Stemonurus,malaccensis,Stemonuraceae,Stemonurus,malaccensis,,NA,50ha,unlogged
Stemonurus scorpiodes,Stemonuraceae,Stemonurus,scorpiodes,Stemonuraceae,Stemonurus,scorpioides,scorpiodes corrected to scorpioides,NA,"50ha, CP",both
Stemonurus unknown mixed,Stemonuraceae,Stemonurus,unknown mixed,Stemonuraceae,Stemonurus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Sterculia coccinia,Malvaceae,Sterculia,coccinia,Malvaceae,Sterculia,lanceolata,"assumed to be sterculia coccinea, which is a synonym Sterculia lanceolata. ",NA,50ha,unlogged
Sterculia cordata,Malvaceae,Sterculia,cordata,Malvaceae,Sterculia,cordata,,NA,"50ha, CP",both
Sterculia rubiginosa,Malvaceae,Sterculia,rubiginosa,Malvaceae,Sterculia,rubiginosa,,NA,50ha,unlogged
Sterculia stipulata,Malvaceae,Sterculia,stipulata,Malvaceae,Sterculia,stipulata,,NA,50ha,unlogged
Sterculia unknown mixed,Malvaceae,Sterculia,unknown mixed,Malvaceae,Sterculia,unknown mixed,not identified to species level,NA,50ha,unlogged
Streblus glaber,Moraceae,Streblus,glaber,Moraceae,Paratrophis,glabra,Streblus glaber is a synonym of Paratrophis glabra,NA,50ha,unlogged
Strombosia ceylanica,Erythropalaceae,Strombosia,ceylanica,Olacaceae,Strombosia,ceylanica,family corrected,NA,50ha,unlogged
Suregada multiflora,Euphorbiaceae,Suregada,multiflora,Euphorbiaceae,Suregada,multiflora,not recorded as occuring in borneo,NA,50ha,unlogged
Sympetalandra unijug,Fabaceae,Sympetalandra,unijug,Fabaceae,Sympetalandra,unijuga,unijug corrected to unijuga,NA,CP,logged
Symplocos fasciculata,Symplocaceae,Symplocos,fasciculata,Symplocaceae,Symplocos,fasciculata,,NA,"50ha, CP",both
Symplocos odoratissima,Symplocaceae,Symplocos,odoratissima,Symplocaceae,Symplocos,odoratissima,,NA,50ha,unlogged
Symplocos unknown mixed,Symplocaceae,Symplocos,unknown mixed,Symplocaceae,Symplocos,unknown mixed,not identified to species level,NA,CP,logged
Syzygium barringtonioides,Myrtaceae,Syzygium,barringtonioides,Myrtaceae,Syzygium,barringtonioides,,NA,50ha,unlogged
Syzygium christmannii,Myrtaceae,Syzygium,christmannii,Myrtaceae,Syzygium,christmannii,,NA,50ha,unlogged
Syzygium creaghii,Myrtaceae,Syzygium,creaghii,Myrtaceae,Syzygium,creaghii,,NA,50ha,unlogged
Syzygium elliptilimbum,Myrtaceae,Syzygium,elliptilimbum,Myrtaceae,Syzygium,elliptilimbum,,NA,50ha,unlogged
Syzygium elopurae,Myrtaceae,Syzygium,elopurae,Myrtaceae,Syzygium,elopurae,,NA,50ha,unlogged
Syzygium fastigiatum,Myrtaceae,Syzygium,fastigiatum,Myrtaceae,Syzygium,fastigiatum,,NA,50ha,unlogged
Syzygium hirtum,Myrtaceae,Syzygium,hirtum,Myrtaceae,Syzygium,hirtum,,NA,"50ha, CP",both
Syzygium imperiale,Myrtaceae,Syzygium,imperiale,Myrtaceae,Syzygium,imperiale,,NA,50ha,unlogged
Syzygium kiauese,Myrtaceae,Syzygium,kiauese,Myrtaceae,Syzygium,kiauense,Kiauese corrected to kiauense,NA,50ha,unlogged
Syzygium kunstleri,Myrtaceae,Syzygium,kunstleri,Myrtaceae,Syzygium,kunstleri,,NA,50ha,unlogged
Syzygium leptostemon,Myrtaceae,Syzygium,leptostemon,Myrtaceae,Syzygium,leptostemon,,NA,50ha,unlogged
Syzygium panzeri,Myrtaceae,Syzygium,panzeri,Myrtaceae,Syzygium,panzeri,,NA,50ha,unlogged
Syzygium penibukanense,Myrtaceae,Syzygium,penibukanense,Myrtaceae,Syzygium,penibukanense,,NA,50ha,unlogged
Syzygium pustulatum,Myrtaceae,Syzygium,pustulatum,Myrtaceae,Syzygium,pustulatum,,NA,50ha,unlogged
Syzygium scortechinii,Myrtaceae,Syzygium,scortechinii,Myrtaceae,Syzygium,scortechinii,,NA,50ha,unlogged
Syzygium tawahensis,Myrtaceae,Syzygium,tawahensis,Myrtaceae,Syzygium,tawahense,tawahensis corrected to tawahense,NA,50ha,unlogged
Syzygium unknown mixed,Myrtaceae,Syzygium,unknown mixed,Myrtaceae,Syzygium,unknown mixed,not identified to species level,NA,"50ha, CP",both
Tabernaemontana macrocarpa,Apocynaceae,Tabernaemontana,macrocarpa,Apocynaceae,Tabernaemontana,macrocarpa,,NA,50ha,unlogged
Tabernaemontana pauciflora,Apocynaceae,Tabernaemontana,pauciflora,Apocynaceae,Tabernaemontana,pauciflora,,NA,50ha,unlogged
Tabernaemontana unknown mixed,Apocynaceae,Tabernaemontana,unknown mixed,Apocynaceae,Tabernaemontana,unknown mixed,not identified to species level,NA,50ha,unlogged
Taulama gitingensis,Magnoliaceae,Taulama,gitingensis,Magnoliaceae,unknown,unknown,"No genus called Taulama appears to exist, either on POWO or on google",NA,CP,logged
Taulama unknown mixed,Magnoliaceae,Taulama,unknown mixed,Magnoliaceae,unknown,unknown mixed,not identified to species level; no genus called Taulama appears to exist,NA,CP,logged
Teijsmanniodendron bogoriense,Lamiaceae,Teijsmanniodendron,bogoriense,Lamiaceae,Teijsmanniodendron,bogoriense,,NA,50ha,unlogged
Teijsmanniodendron pteropodum,Lamiaceae,Teijsmanniodendron,pteropodum,Lamiaceae,Teijsmanniodendron,pteropodum,,NA,CP,logged
Teijsmanniodendron unknown mixed,Lamiaceae,Teijsmanniodendron,unknown mixed,Lamiaceae,Teijsmanniodendron,unknown mixed,not identified to species level,NA,CP,logged
Terminalia citrina,Combretaceae,Terminalia,citrina,Combretaceae,Terminalia,citrina,,NA,50ha,unlogged
Terminalia ivorensis,Combretaceae,Terminalia,ivorensis,Combretaceae,Terminalia,ivorensis,not recorded as occuring in borneo; appear to only be recorded in West Africa. seems strange for this plant to be seen in Borneo.,NA,50ha,unlogged
Terminalia phellocarpa,Combretaceae,Terminalia,phellocarpa,Combretaceae,Terminalia,phellocarpa,not recorded as occuring in borneo.,NA,50ha,unlogged
Terminalia species 1,Combretaceae,Terminalia,species 1,Combretaceae,Terminalia,species 1,not identified to species level,NA,50ha,unlogged
Terminalia species 2,Combretaceae,Terminalia,species 2,Combretaceae,Terminalia,species 2,not identified to species level,NA,50ha,unlogged
Timonius lasianthoides,Rubiaceae,Timonius,lasianthoides,Rubiaceae,Timonius,lasianthoides,,NA,50ha,unlogged
Timonius wallichianus,Rubiaceae,Timonius,wallichianus,Rubiaceae,Timonius,wallichianus,,NA,50ha,unlogged
Triomma malaccensis,Burseraceae,Triomma,malaccensis,Burseraceae,Triomma,malaccensis,,NA,"50ha, CP",both
Turpinia sphaerocarpa,Tapisciaceae,Turpinia,sphaerocarpa,Staphyleaceae,Dalrympelea,sphaerocarpa,Turpinia sphaerocarpa is a synonym for Dalrympelea sphaerocarpa,NA,50ha,unlogged
Unknown species 8,Annonaceae,Unknown,species 8,Annonaceae,Unknown,species 8,unknown,NA,CP,logged
Unknown unknown mixed,Annonaceae,Unknown,unknown mixed,Annonaceae,Unknown,unknown mixed,unknown,NA,CP,logged
Urophyllum  glabrum,Rubiaceae,Urophyllum ,glabrum,Rubiaceae,Urophyllum ,glabrum,,NA,CP,logged
Urophyllum  unknown mixed,Rubiaceae,Urophyllum ,unknown mixed,Rubiaceae,Urophyllum ,unknown mixed,unknown,NA,CP,logged
Vatica albiramis,Dipterocarpaceae,Vatica,albiramis,Dipterocarpaceae,Vatica,albiramis,,NA,"50ha, CP",both
Vatica chartacea,Dipterocarpaceae,Vatica,chartacea,Dipterocarpaceae,Vatica,chartacea,,NA,50ha,unlogged
Vatica dulitensis,Dipterocarpaceae,Vatica,dulitensis,Dipterocarpaceae,Vatica,dulitensis,,NA,CP,logged
Vatica oblongifolia,Dipterocarpaceae,Vatica,oblongifolia,Dipterocarpaceae,Vatica,oblongifolia,,NA,50ha,unlogged
Vatica sarawakensis,Dipterocarpaceae,Vatica,sarawakensis,Dipterocarpaceae,Vatica,sarawakensis,,NA,"50ha, CP",both
Vatica umbonata,Dipterocarpaceae,Vatica,umbonata,Dipterocarpaceae,Vatica,umbonata,,NA,50ha,unlogged
Vitex pinnata,Lamiaceae,Vitex,pinnata,Lamiaceae,Vitex,pinnata,,NA,"50ha, CP",both
Walsura pachycaulon,Meliaceae,Walsura,pachycaulon,Meliaceae,Walsura,pachycaulon,,NA,50ha,unlogged
Walsura pinnata,Meliaceae,Walsura,pinnata,Meliaceae,Walsura,pinnata,,NA,"50ha, CP",both
Walsura species 1,Meliaceae,Walsura,species 1,Meliaceae,Walsura,species 1,not identified to species level,NA,50ha,unlogged
Xanthophyllum adenotus,Polygalaceae,Xanthophyllum,adenotus,Polygalaceae,Xanthophyllum,adenotus,,NA,50ha,unlogged
Xanthophyllum affine,Polygalaceae,Xanthophyllum,affine,Polygalaceae,Xanthophyllum,flavescens,Xanthophyllum affine is a synonym of Xanthophyllum flavescens,NA,"50ha, CP",both
Xanthophyllum pachycarpon,Polygalaceae,Xanthophyllum,pachycarpon,Polygalaceae,Xanthophyllum,pachycarpon,,NA,50ha,unlogged
Xanthophyllum reticulatum,Polygalaceae,Xanthophyllum,reticulatum,Polygalaceae,Xanthophyllum,reticulatum,,NA,50ha,unlogged
Xanthophyllum species 1,Polygalaceae,Xanthophyllum,species 1,Polygalaceae,Xanthophyllum,species 1,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 2,Polygalaceae,Xanthophyllum,species 2,Polygalaceae,Xanthophyllum,species 2,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 3,Polygalaceae,Xanthophyllum,species 3,Polygalaceae,Xanthophyllum,species 3,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 4,Polygalaceae,Xanthophyllum,species 4,Polygalaceae,Xanthophyllum,species 4,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 5,Polygalaceae,Xanthophyllum,species 5,Polygalaceae,Xanthophyllum,species 5,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 6,Polygalaceae,Xanthophyllum,species 6,Polygalaceae,Xanthophyllum,species 6,not identified to species level,NA,50ha,unlogged
Xanthophyllum species 7,Polygalaceae,Xanthophyllum,species 7,Polygalaceae,Xanthophyllum,species 7,not identified to species level,NA,50ha,unlogged
Xanthophyllum unknown mixed,Polygalaceae,Xanthophyllum,unknown mixed,Polygalaceae,Xanthophyllum,unknown mixed,not identified to species level,NA,CP,logged
Xanthophyllum vitellinum,Polygalaceae,Xanthophyllum,vitellinum,Polygalaceae,Xanthophyllum,vitellinum,,NA,50ha,unlogged
Xylopia ferruginea,Annonaceae,Xylopia,ferruginea,Annonaceae,Xylopia,ferruginea,,NA,"50ha, CP",both
Ziziphus angustifolius,Rhamnaceae,Ziziphus,angustifolius,Rhamnaceae,Ziziphus,augustifolia,augustifolius corrected to augustifolia,NA,"50ha, CP",both
