original_binomial_name,original_family,original_genus,original_species,family ,genus,species,comments,history_at_INDFORSUS_site,species_origin,logging_status
Cinnamomum griffithii,Lauraceae,Cinnamomum,griffithii,Lauraceae,Cinnamomum,iners,Cinnamomum griffithii is a cynonym of Cinnamomum iners,NA,"50ha, CP",both
Cinnamomum racemosum,Lauraceae,Cinnamomum,racemosum,Lauraceae,Cinnamomum,racemosum,,NA,50ha,unlogged
Cinnamomum unknown mixed,Lauraceae,Cinnamomum,unknown mixed,Lauraceae,Cinnamomum,unknown mixed,not identified to species level,NA,"50ha, CP",both
Clausena excavata,Rutaceae,Clausena,excavata,Rutaceae,Clausena,excavata,,NA,"50ha, CP",both
Clausena unknown,Rutaceae,Clausena,unknown,Rutaceae,Clausena,unknown,not identified to species level,NA,50ha,unlogged
Cleistanthus hirsutulus,Phyllanthaceae,Cleistanthus,hirsutulus,Phyllanthaceae,Cleistanthus,hirsutulus,,NA,"50ha, CP",both
Cleistanthus myrianthus,Phyllanthaceae,Cleistanthus,myrianthus,Phyllanthaceae,Cleistanthus,oblongifolius,Cleistanthus myrianthus is a ,NA,CP,logged
Cleistanthus podopixys,Phyllanthaceae,Cleistanthus,podopixys,Phyllanthaceae,Cleistanthus,podopyxis,podopixys corrected to podopyxis,NA,"50ha, CP",both
Cleistanthus species 2,Phyllanthaceae,Cleistanthus,species 2,Phyllanthaceae,Cleistanthus,species 2,not identified to species level,NA,50ha,unlogged
Cleistanthus unknown mixed,Phyllanthaceae,Cleistanthus,unknown mixed,Phyllanthaceae,Cleistanthus,unknown mixed,not identified to species level,NA,"50ha, CP",both
Coelostegia borneensis,Malvaceae,Coelostegia,borneensis,Malvaceae,Coelostegia,borneensis,,NA,"50ha, CP",both
Cowiea borneensis,Rubiaceae,Cowiea,borneensis,Rubiaceae,Cowiea,borneensis,,NA,50ha,unlogged
Crateva magna,Capparaceae,Crateva,magna,Capparaceae,Crateva,magna,,NA,50ha,unlogged
Cratoxylum cochinchinense,Clusiaceae,Cratoxylum,cochinchinense,Hypericaceae,Cratoxylum,cochinchinense,corrected family,NA,50ha,unlogged
Cratoxylum unknown mixed,Hypericaceae,Cratoxylum,unknown mixed,Hypericaceae,Cratoxylum,unknown mixed,not identified to species level,NA,CP,logged
Croton argyratus,Euphorbiaceae,Croton,argyratus,Euphorbiaceae,Croton,argyratus,,NA,CP,logged
Croton oblongus,Euphorbiaceae,Croton,oblongus,Euphorbiaceae,Croton,oblongus,,NA,50ha,unlogged
Croton unknown mixed,Euphorbiaceae,Croton,unknown mixed,Euphorbiaceae,Croton,unknown mixed,not identified to species level,NA,50ha,unlogged
Crudia reticulata,Fabaceae-caesalpinioideae,Crudia,reticulata,Fabacea,Crudia,bantamensis,family corrected; Crudia reticulata is a synonym for Crudia bantamensis,NA,50ha,unlogged
Crudia tenuipes,Fabaceae,Crudia,tenuipes,Fabaceae,Crudia,tenuipes,,NA,"50ha, CP",both
Crudia unknown mixed,Fabaceae,Crudia,unknown mixed,Fabaceae,Crudia,unknown mixed,not identified to species level,NA,CP,logged
Crypteronia griffithii,Crypteroniaceae,Crypteronia,griffithii,Crypteroniaceae,Crypteronia,rubiflora,Crypteronia griffithii is a synonym for Crypteronia rubiflora,NA,50ha,unlogged
Cryptocarya erectinervia,Lauraceae,Cryptocarya,erectinervia,Lauraceae,Cryptocarya,ferrea,Cryptocarya erectinervia is a synonym for Cryptocarya ferrea,NA,"50ha, CP",both
Cryptocarya pulchrinervia,Lauraceae,Cryptocarya,pulchrinervia,Lauraceae,Cryptocarya,pulchrinervia,,NA,"50ha, CP",both
Cryptocarya strictifolia,Lauraceae,Cryptocarya,strictifolia,Lauraceae,Cryptocarya,strictifolia,,NA,CP,logged
Cryptocarya teysmanniana,Lauraceae,Cryptocarya,teysmanniana,Lauraceae,Cryptocarya,teysmanniana,,NA,50ha,unlogged
Cryptocarya unknown mixed,Lauraceae,Cryptocarya,unknown mixed,Lauraceae,Cryptocarya,unknown mixed,not identified to species level,NA,CP,logged
Cyathocalyx magnifructus,Annonaceae,Cyathocalyx,magnifructus,Annonaceae,Cyathocalyx,magnifructus,,NA,"50ha, CP",both
Cynometra elmeri,Fabaceae-caesalpinioideae,Cynometra,elmeri,Fabaceae,Cynometra,elmeri,family corrected  ,NA,50ha,unlogged
Cynometra mirabilis,Fabaceae,Cynometra,mirabilis,Fabaceae,Cynometra,mirabilis,,NA,"50ha, CP",both
Dacryodes laxa,Burseraceae,Dacryodes,laxa,Burseraceae,Dacryodes,laxa,,NA,50ha,unlogged
Dacryodes rostrata,Burseraceae,Dacryodes,rostrata,Burseraceae,Dacryodes,rostrata,,NA,"50ha, CP",both
Dacryodes rugosa,Burseraceae,Dacryodes,rugosa,Burseraceae,Dacryodes,rugosa,,NA,"50ha, CP",both
Dacryodes species 1,Burseraceae,Dacryodes,species 1,Burseraceae,Dacryodes,species 1,not identified to species level,NA,50ha,unlogged
Dacryodes unknown mixed,Burseraceae,Dacryodes,unknown mixed,Burseraceae,Dacryodes,unknown mixed,not identified to species level,NA,CP,logged
Decaspermum parviflorum,Myrtaceae,Decaspermum,parviflorum,Myrtaceae,Decaspermum,parviflorum,,NA,50ha,unlogged
Dehaasia caesia,Lauraceae,Dehaasia,caesia,Lauraceae,Dehaasia,caesia,,NA,"50ha, CP",both
Dehaasia gigantocarpa,Lauraceae,Dehaasia,gigantocarpa,Lauraceae,Dehaasia,gigantocarpa,,NA,50ha,unlogged
Dehaasia incrassata,Lauraceae,Dehaasia,incrassata,Lauraceae,Dehaasia,incrassata,,NA,"50ha, CP",both
Dehaasia unknown mixed,Lauraceae,Dehaasia,unknown mixed,Lauraceae,Dehaasia,unknown mixed,not identified to species level,NA,"50ha, CP",both
Dendrocnide elliptica,Urticaceae,Dendrocnide,elliptica,Urticaceae,Dendrocnide,elliptica,,NA,"50ha, CP",both
Dendrocnide stimulans,Urticaceae,Dendrocnide,stimulans,Urticaceae,Dendrocnide,stimulans,,NA,50ha,unlogged
Dendrocnide unknown mixed,Urticaceae,Dendrocnide,unknown mixed,Urticaceae,Dendrocnide,unknown mixed,not identified to species level,NA,"50ha, CP",both
Dialium indum,Fabaceae-caesalpinioideae,Dialium,indum,Fabaceae,Dialium,indum,family corrected  ,NA,50ha,unlogged
Dialium unknown mixed,Fabaceae-caesalpinioideae,Dialium,unknown mixed,Fabaceae,Dialium,unknown mixed,family corrected; not identified to species level,NA,50ha,unlogged
Dillenia borneensis,Dilleniaceae,Dillenia,borneensis,Dilleniaceae,Dillenia,borneensis,,NA,50ha,unlogged
Dillenia excelsa,Dilleniaceae,Dillenia,excelsa,Dilleniaceae,Dillenia,excelsa,,NA,"50ha, CP",both
Dillenia species 1,Dilleniaceae,Dillenia,species 1,Dilleniaceae,Dillenia,species 1,not identified to species level,NA,"50ha, CP",both
Dimocarpus dentatus,Sapindaceae,Dimocarpus,dentatus,Sapindaceae,Dimocarpus,dentatus,,Unlogged,"50ha, CP, IF",both
Dimocarpus fumatus,Sapindaceae,Dimocarpus,fumatus,Sapindaceae,Dimocarpus,fumatus,,NA,50ha,unlogged
Dimocarpus longan,Sapindaceae,Dimocarpus,longan,Sapindaceae,Dimocarpus,longan,,"ActiveRestoration, NaturalRegeneration, Unlogged","50ha, CP, IF",both
Dimorphocalyx murinus,Euphorbiaceae,Dimorphocalyx,murinus,Euphorbiaceae,Tritaxis,denticulata,Dimorphocalyx murinus is a synonymn for Tritaxis denticulata,NA,"50ha, CP",both
Diospyros andamanica,Ebenaceae,Diospyros,andamanica,Ebenaceae,Diospyros,andamanica,,NA,"50ha, CP",both
Diospyros borneensis,Ebenaceae,Diospyros,borneensis,Ebenaceae,Diospyros,borneensis,,NA,50ha,unlogged
