"binomial_name","Genus","Species","Family","history_at_CP_site","species_origin","logging_status","history_at_IF_site"
"Glycosmis chlorosperma","Glycosmis","chlorosperma","Rutaceae",NA,"50ha","unlogged",NA
"Glycosmis macrantha","Glycosmis","macrantha","Rutaceae","AR","CP, 50ha","both",NA
"Glycosmis unknown mixed","Glycosmis","unknown mixed","Rutaceae",NA,"50ha","unlogged",NA
"Gomphandra quadrifida","Gomphandra","quadrifida","Stemonuraceae",NA,"50ha","unlogged",NA
"Goniothalamus gigantifolius","Goniothalamus","gigantifolius","Annonaceae",NA,"50ha","unlogged",NA
"Goniothalamus species 1","Goniothalamus","species 1","Annonaceae",NA,"50ha","unlogged",NA
"Goniothalamus species 2","Goniothalamus","species 2","Annonaceae",NA,"50ha","unlogged",NA
"Goniothalamus species 3","Goniothalamus","species 3","Annonaceae",NA,"50ha","unlogged",NA
"Goniothalamus uvarioides","Goniothalamus","uvarioides","Annonaceae","NR","CP, 50ha","both",NA
"Goniothalamus woodii","Goniothalamus","woodii","Annonaceae",NA,"50ha","unlogged",NA
"Gonocaryum calleryanum","Gonocaryum","calleryanum","Cardiopteridaceae",NA,"50ha","unlogged",NA
"Gonocaryum macrophyllum","Gonocaryum","macrophyllum","Cardiopteridaceae",NA,"50ha","unlogged",NA
"Gonystylus keithii","Gonystylus","keithii","Thymelaeaceae",NA,"50ha","unlogged",NA
"Guioa pleuropteris","Guioa","pleuropteris","Sapindaceae","NR, AR","CP, 50ha","both",NA
"Hancea penangensis","Hancea","penangensis","Euphorbiaceae",NA,"50ha","unlogged",NA
"Harpullia arborea","Harpullia","arborea","Sapindaceae",NA,"50ha","unlogged",NA
"Harpullia species 1","Harpullia","species 1","Sapindaceae",NA,"50ha","unlogged",NA
"Helicia excelsa","Helicia","excelsa","Proteaceae","AR, NR","CP, 50ha","both",NA
"Helicia robusta","Helicia","robusta","Proteaceae","AR","CP, 50ha","both",NA
"Heliciopsis artocarpoides","Heliciopsis","artocarpoides","Proteaceae",NA,"50ha","unlogged",NA
"Heritiera elata","Heritiera","elata","Malvaceae",NA,"50ha","unlogged",NA
"Homalium foetidum","Homalium","foetidum","Salicaceae",NA,"50ha","unlogged",NA
"Hopea ferruginea","Hopea","ferruginea","Dipterocarpaceae","AR","CP, 50ha","both",NA
"Hopea nervosa","Hopea","nervosa","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Hopea pentanervia","Hopea","pentanervia","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Hopea plagata","Hopea","plagata","Dipterocarpaceae",NA,"50ha","unlogged",NA
"Hopea sangal","Hopea","sangal","Dipterocarpaceae","AR, NR","CP, 50ha","both",NA
"Hopea unknown mixed","Hopea","unknown mixed","Dipterocarpaceae","NR, AR","CP, 50ha","both",NA
"Horsfieldia irya","Horsfieldia","irya","Myristicaceae",NA,"50ha","unlogged",NA
"Horsfieldia polyspherula","Horsfieldia","polyspherula","Myristicaceae","NR","CP, 50ha","both",NA
"Horsfieldia unknown mixed","Horsfieldia","unknown mixed","Myristicaceae",NA,"50ha","unlogged",NA
"Hubera rumphii","Hubera","rumphii","Annonaceae","AR, NR","CP","logged",NA
"Hydnocarpus anomala","Hydnocarpus","anomala","Achariaceae","AR, NR","CP","logged",NA
"Hydnocarpus anomalus","Hydnocarpus","anomalus","Achariaceae","NR, AR","CP, 50ha","both",NA
"Hydnocarpus borneensis","Hydnocarpus","borneensis","Achariaceae","AR, NR","CP, 50ha","both",NA
"Hydnocarpus polypetalus","Hydnocarpus","polypetalus","Achariaceae",NA,"50ha","unlogged",NA
"Hydnocarpus unknown mixed","Hydnocarpus","unknown mixed","Achariaceae","NR","CP, 50ha","both",NA
"Intsia palembanica","Intsia","palembanica","Fabaceae","NR, AR","CP, 50ha","both",NA
"Intsia unknown mixed","Intsia","unknown mixed","Fabaceae",NA,"50ha","unlogged",NA
"Irvingia malayana","Irvingia","malayana","Irvingiaceae",NA,"50ha","unlogged",NA
"Ixora blumei","Ixora","blumei","Rubiaceae","NR, AR","CP, 50ha","both",NA
"Ixora brevicaudata","Ixora","brevicaudata","Rubiaceae",NA,"50ha","unlogged",NA
"Ixora grandifolia","Ixora","grandifolia","Rubiaceae","AR","CP, 50ha","both",NA
"Ixora unknown mixed","Ixora","unknown mixed","Rubiaceae",NA,"50ha","unlogged",NA
"Kayea oblongifolia","Kayea","oblongifolia","Clusiaceae",NA,"50ha","unlogged",NA
"Kayea unknown mixed","Kayea","unknown mixed","Calophyllaceae","NR","CP","logged",NA
"Kibara obtusa","Kibara","obtusa","Monimiaceae","AR","CP, 50ha","both",NA
"Knema cinerea","Knema","cinerea","Myristicaceae",NA,"50ha","unlogged",NA
"Knema elmeri","Knema","elmeri","Myristicaceae","AR, NR","CP, 50ha","both",NA
"Knema furfuracea","Knema","furfuracea","Myristicaceae",NA,"50ha","unlogged",NA
"Knema glomerata","Knema","glomerata","Myristicaceae",NA,"50ha","unlogged",NA
"Knema kostermannsiana","Knema","kostermannsiana","Myristicaceae",NA,"50ha","unlogged",NA
"Knema latericia","Knema","latericia","Myristicaceae","AR, NR","CP, 50ha","both",NA
"Knema laurina","Knema","laurina","Myristicaceae","AR, NR","CP, 50ha","both",NA
"Knema oblongata","Knema","oblongata","Myristicaceae",NA,"50ha","unlogged",NA
"Knema pectinata","Knema","pectinata","Myristicaceae","NR","CP","logged",NA
"Knema pulchra","Knema","pulchra","Myristicaceae",NA,"50ha","unlogged",NA
"Knema unknown mixed","Knema","unknown mixed","Myristicaceae","AR","CP, 50ha","both",NA
"Koilodepas laevigatum","Koilodepas","laevigatum","Euphorbiaceae",NA,"50ha","unlogged",NA
"Koilodepas longifolium","Koilodepas","longifolium","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Kokoona ochracea","Kokoona","ochracea","Celastraceae",NA,"50ha","unlogged",NA
"Koompassia excelsa","Koompassia","excelsa","Fabaceae","AR, NR","CP, 50ha","both",NA
"Kopsia pauciflora","Kopsia","pauciflora","Apocynaceae",NA,"50ha","unlogged",NA
"Lansium domesticum","Lansium","domesticum","Meliaceae","NR, no seedling data, AR","CP, 50ha","both",NA
"Lasianthus borneensis","Lasianthus","borneensis","Rubiaceae",NA,"50ha","unlogged",NA
"Lasianthus maingayi","Lasianthus","maingayi","Rubiaceae",NA,"50ha","unlogged",NA
"Lasianthus species 1","Lasianthus","species 1","Rubiaceae",NA,"50ha","unlogged",NA
"Lasianthus species 2","Lasianthus","species 2","Rubiaceae",NA,"50ha","unlogged",NA
"Lasianthus species 3","Lasianthus","species 3","Rubiaceae",NA,"50ha","unlogged",NA
"Lasianthus unknown mixed","Lasianthus","unknown mixed","Rubiaceae",NA,"50ha","unlogged",NA
"Leea aculeata","Leea","aculeata","Leeaceae","NR, AR","CP, 50ha","both",NA
"Leea indica","Leea","indica","Vitaceae",NA,"50ha","unlogged",NA
"Lepisanthes fruticosa","Lepisanthes","fruticosa","Sapindaceae",NA,"50ha","unlogged",NA
"Lepisanthes senegalensis","Lepisanthes","senegalensis","Sapindaceae","AR, NR","CP, 50ha","both",NA
"Lepisanthes tetraphylla","Lepisanthes","tetraphylla","Sapindaceae",NA,"50ha","unlogged",NA
"Lepisanthes unknown mixed","Lepisanthes","unknown mixed","Sapindaceae","NR","CP, 50ha","both",NA
"Licania splendens","Licania","splendens","Chrysobalanaceae",NA,"50ha","unlogged",NA
"Lithocarpus ewyckii","Lithocarpus","ewyckii","Fagaceae","AR, NR","CP, 50ha","both",NA
"Lithocarpus gracilis","Lithocarpus","gracilis","Fagaceae","AR, NR","CP, 50ha","both",NA
"Lithocarpus leptogyne","Lithocarpus","leptogyne","Fagaceae","AR, NR","CP, 50ha","both",NA
"Lithocarpus nieuwenhuisii","Lithocarpus","nieuwenhuisii","Fagaceae","AR, NR","CP, 50ha","both",NA
"Lithocarpus species 1","Lithocarpus","species 1","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 2","Lithocarpus","species 2","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 3","Lithocarpus","species 3","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 4","Lithocarpus","species 4","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 5","Lithocarpus","species 5","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 6","Lithocarpus","species 6","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 7","Lithocarpus","species 7","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 8","Lithocarpus","species 8","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus species 9","Lithocarpus","species 9","Fagaceae",NA,"50ha","unlogged",NA
"Lithocarpus unknown mixed","Lithocarpus","unknown mixed","Fagaceae","AR, NR, no seedling data","CP","logged",NA
"Litsea accedens","Litsea","accedens","Lauraceae","AR, NR","CP, 50ha","both",NA
"Litsea angulata","Litsea","angulata","Lauraceae","AR, NR","CP, 50ha","both",NA
"Litsea caulocarpa","Litsea","caulocarpa","Lauraceae","AR, NR","CP, 50ha","both",NA
"Litsea cordifolia","Litsea","cordifolia","Lauraceae","NR","CP, 50ha","both",NA
"Litsea cuprea","Litsea","cuprea","Lauraceae",NA,"50ha","unlogged",NA
"Litsea curtisii","Litsea","curtisii","Lauraceae",NA,"50ha","unlogged",NA
"Litsea elliptica","Litsea","elliptica","Lauraceae",NA,"50ha","unlogged",NA
"Litsea ferruginea","Litsea","ferruginea","Lauraceae",NA,"50ha","unlogged",NA
"Litsea ficoidea","Litsea","ficoidea","Lauraceae",NA,"50ha","unlogged",NA
"Litsea fulva","Litsea","fulva","Lauraceae","AR","CP, 50ha","both",NA
"Litsea garciae","Litsea","garciae","Lauraceae","NR, AR","CP, 50ha","both",NA
"Litsea grandis","Litsea","grandis","Lauraceae","NR, AR","CP, 50ha","both",NA
"Litsea longifolia","Litsea","longifolia","Lauraceae",NA,"50ha","unlogged",NA
"Litsea machilifolia","Litsea","machilifolia","Lauraceae",NA,"50ha","unlogged",NA
"Litsea oppositifolia","Litsea","oppositifolia","Lauraceae","AR, no seedling data","CP, 50ha","both",NA
"Litsea robusta","Litsea","robusta","Lauraceae",NA,"50ha","unlogged",NA
"Litsea unknown mixed","Litsea","unknown mixed","Lauraceae","AR, NR","CP, 50ha","both",NA
"Lophopetalum beccarianum","Lophopetalum","beccarianum","Celastraceae","NR","CP, 50ha","both",NA
"Lophopetalum javanicum","Lophopetalum","javanicum","Celastraceae","AR, NR","CP, 50ha","both",NA
"Lophopetalum unknown mixed","Lophopetalum","unknown mixed","Celastraceae",NA,"50ha","unlogged",NA
"Ludekia borneensis","Ludekia","borneensis","Rubiaceae","AR, NR","CP, 50ha","both",NA
"Ludekia unknown mixed","Ludekia","unknown mixed","Rubiaceae","NR","CP","logged",NA
"Maasia sumatrana","Maasia","sumatrana","Annonaceae","AR, NR","CP","logged",NA
"Macaranga conifera","Macaranga","conifera","Euphorbiaceae","AR","CP","logged",NA
"Macaranga gigantea","Macaranga","gigantea","Euphorbiaceae","AR, NR","CP","logged",NA
"Macaranga hypoleuca","Macaranga","hypoleuca","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Macaranga pearsonii","Macaranga","pearsonii","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Macaranga winkleri","Macaranga","winkleri","Euphorbiaceae",NA,"50ha","unlogged",NA
"Madhuca elmeri","Madhuca","elmeri","Sapotaceae","NR","CP, 50ha","both",NA
"Madhuca kingiana","Madhuca","kingiana","Sapotaceae","AR, NR","CP, 50ha","both",NA
"Madhuca korthalsii","Madhuca","korthalsii","Sapotaceae","AR, NR","CP, 50ha","both",NA
"Madhuca kunstleri","Madhuca","kunstleri","Sapotaceae",NA,"50ha","unlogged",NA
"Madhuca mindanaensis","Madhuca","mindanaensis","Sapotaceae",NA,"50ha","unlogged",NA
"Madhuca unknown mixed","Madhuca","unknown mixed","Sapotaceae",NA,"50ha","unlogged",NA
"Magnolia beccarii","Magnolia","beccarii","Magnoliaceae",NA,"50ha","unlogged",NA
"Magnolia candolii","Magnolia","candolii","Magnoliaceae","AR, NR","CP, 50ha","both",NA
"Magnolia gigantifolia","Magnolia","gigantifolia","Magnoliaceae","NR, AR","CP, 50ha","both",NA
"Mallotus korthalsii","Mallotus","korthalsii","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Mallotus lackeyi","Mallotus","lackeyi","Euphorbiaceae","AR","CP, 50ha","both",NA
"Mallotus miquelianus","Mallotus","miquelianus","Euphorbiaceae",NA,"50ha","unlogged",NA
"Mallotus penangensis","Mallotus","penangensis","Euphorbiaceae","AR, NR","CP","logged",NA
"Mallotus species 1","Mallotus","species 1","Euphorbiaceae","AR, NR, no seedling data","CP, 50ha","both",NA
"Mallotus stipularis","Mallotus","stipularis","Euphorbiaceae","AR, NR","CP","logged",NA
"Mallotus unknown mixed","Mallotus","unknown mixed","Euphorbiaceae","AR","CP, 50ha","both",NA
"Mallotus wrayi","Mallotus","wrayi","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Mangifera foetida","Mangifera","foetida","Anacardiaceae","AR, NR","CP, 50ha","both",NA
"Mangifera indica","Mangifera","indica","Anacardiaceae",NA,"50ha","unlogged",NA
"Mangifera odorata","Mangifera","odorata","Anacardiaceae",NA,"50ha","unlogged",NA
"Mangifera pajang","Mangifera","pajang","Anacardiaceae","AR","CP, 50ha","both",NA
"Mangifera rufocostata","Mangifera","rufocostata","Anacardiaceae",NA,"50ha","unlogged",NA
"Mangifera species 1","Mangifera","species 1","Anacardiaceae",NA,"50ha","unlogged",NA
"Mangifera swintonioides","Mangifera","swintonioides","Anacardiaceae",NA,"50ha","unlogged",NA
"Mangifera unknown mixed","Mangifera","unknown mixed","Anacardiaceae","AR, NR","CP, 50ha","both",NA
"Maranthes corymbosa","Maranthes","corymbosa","Chrysobalanaceae",NA,"50ha","unlogged",NA
"Marsypopetalum pallidum","Marsypopetalum","pallidum","Annonaceae",NA,"50ha","unlogged",NA
"Maschalocarybus corymbosus","Maschalocarybus","corymbosus","Rubiaceae","AR","CP","logged",NA
"Mastixia trichotoma","Mastixia","trichotoma","Cornaceae","AR, NR","CP, 50ha","both",NA
"Meiogyne virgata","Meiogyne","virgata","Annonaceae","NR, no seedling data, AR","CP, 50ha","both",NA
"Melanochyla auriculata","Melanochyla","auriculata","Anacardiaceae",NA,"50ha","unlogged",NA
"Melanochyla beccariana","Melanochyla","beccariana","Anacardiaceae","NR","CP, 50ha","both",NA
"Melanochyla unknown mixed","Melanochyla","unknown mixed","Anacardiaceae",NA,"50ha","unlogged",NA
"Melastoma malabathricum","Melastoma","malabathricum","Melastomataceae",NA,"50ha","unlogged",NA
"Melicope  lunu-ankenda","Melicope ","lunu-ankenda","Rutaceae","AR, NR, no seedling data","CP","logged",NA
"Melicope  unknown mixed","Melicope ","unknown mixed","Rutaceae","NR","CP","logged",NA
"Meliosma pinnata","Meliosma","pinnata","Sabiaceae","AR","CP, 50ha","both",NA
"Meliosma sumatrana","Meliosma","sumatrana","Sabiaceae","NR","CP, 50ha","both",NA
"Memecylon costatum","Memecylon","costatum","Memecylaceae","NR","CP, 50ha","both",NA
"Memecylon laevigatum","Memecylon","laevigatum","Melastomataceae",NA,"50ha","unlogged",NA
"Memecylon oleifolium","Memecylon","oleifolium","Melastomataceae",NA,"50ha","unlogged",NA
"Memecylon paniculatum","Memecylon","paniculatum","Memecylaceae","NR","CP, 50ha","both",NA
"Memecylon species 1","Memecylon","species 1","Melastomataceae",NA,"50ha","unlogged",NA
"Memecylon species 2","Memecylon","species 2","Melastomataceae",NA,"50ha","unlogged",NA
"Memecylon species 3","Memecylon","species 3","Melastomataceae",NA,"50ha","unlogged",NA
"Merope angulata","Merope","angulata","Rutaceae",NA,"50ha","unlogged",NA
"Mesua borneensis","Mesua","borneensis","Clusiaceae",NA,"50ha","unlogged",NA
"Mesua macrantha","Mesua","macrantha","Clusiaceae",NA,"50ha","unlogged",NA
"Mesua unknown mixed","Mesua","unknown mixed","Clusiaceae",NA,"50ha","unlogged",NA
"Microcos antidesmifolia","Microcos","antidesmifolia","Malvaceae",NA,"50ha","unlogged",NA
"Microcos crassifolia","Microcos","crassifolia","Malvaceae","AR, NR","CP, 50ha","both",NA
"Microcos fibrocarpa","Microcos","fibrocarpa","Malvaceae","AR, NR","CP, 50ha","both",NA
"Microcos latistipulata","Microcos","latistipulata","Malvaceae","NR, AR","CP, 50ha","both",NA
"Microcos ossea","Microcos","ossea","Malvaceae","AR, NR","CP, 50ha","both",NA
"Microcos unknown mixed","Microcos","unknown mixed","Malvaceae","AR","CP, 50ha","both",NA
"Mischocarpus pentapetalus","Mischocarpus","pentapetalus","Sapindaceae",NA,"50ha","unlogged",NA
"Monanthocitrus oblanceolata","Monanthocitrus","oblanceolata","Rutaceae",NA,"50ha","unlogged",NA
"Monocarpia borneensis","Monocarpia","borneensis","Annonaceae",NA,"50ha","unlogged",NA
"Monoon erianthoides","Monoon","erianthoides","Annonaceae","NR","CP, 50ha","both",NA
"Monoon grandiflorum","Monoon","grandiflorum","Annonaceae","NR, AR","CP, 50ha","both",NA
"Monoon hookerianum","Monoon","hookerianum","Annonaceae","NR, AR","CP, 50ha","both",NA
"Monoon species 1","Monoon","species 1","Annonaceae",NA,"50ha","unlogged",NA
"Monoon species 2","Monoon","species 2","Annonaceae",NA,"50ha","unlogged",NA
"Monoon xanthopetalum","Monoon","xanthopetalum","Annonaceae",NA,"50ha","unlogged",NA
"Myristica cinnamomea","Myristica","cinnamomea","Myristicaceae",NA,"50ha","unlogged",NA
"Myrmeconauclea strigosa","Myrmeconauclea","strigosa","Rubiaceae",NA,"50ha","unlogged",NA
"Nauclea sp1","Nauclea","sp1","Rubiaceae","AR, NR","CP","logged",NA
"Nauclea subdita","Nauclea","subdita","Rubiaceae","NR","CP","logged",NA
"Nauclea unknown mixed","Nauclea","unknown mixed","Rubiaceae","AR, no seedling data","CP, 50ha","both",NA
"Neesia synandra","Neesia","synandra","Malvaceae","AR, NR","CP, 50ha","both",NA
"Neesia unknown mixed","Neesia","unknown mixed","Malvaceae","AR, NR","CP","logged",NA
"Neo-Uvaria acuminatissima","Neo-Uvaria","acuminatissima","Annonaceae",NA,"50ha","unlogged",NA
"Neo-Uvaria unknown mixed","Neo-Uvaria","unknown mixed","Annonaceae",NA,"50ha","unlogged",NA
"Neo-uvaria acuminatissima","Neo-uvaria","acuminatissima","Annonaceae","AR, NR","CP","logged",NA
"Neolamarckia cadamba","Neolamarckia","cadamba","Rubiaceae","AR","CP, 50ha","both",NA
"Neonauclea  gigantea","Neonauclea ","gigantea","Rubiaceae","NR","CP","logged",NA
"Neonauclea sp","Neonauclea","sp","Rubiaceae","AR","CP","logged",NA
"Neonauclea sp1","Neonauclea","sp1","Rubiaceae","AR","CP","logged",NA
"Neoscortechinia kingii","Neoscortechinia","kingii","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Nephelium cuspidatum","Nephelium","cuspidatum","Sapindaceae","NR","CP, 50ha","both",NA
"Nephelium maingayi","Nephelium","maingayi","Sapindaceae","AR, NR","CP, 50ha","both",NA
"Nephelium ramboutan-ake","Nephelium","ramboutan-ake","Sapindaceae","AR, NR","CP, 50ha","both",NA
"Nothaphoebe canascens","Nothaphoebe","canascens","Lauraceae","AR","CP, 50ha","both",NA
"Nothaphoebe heterophylla","Nothaphoebe","heterophylla","Lauraceae",NA,"50ha","unlogged",NA
"Nothaphoebe letophylla","Nothaphoebe","letophylla","Lauraceae",NA,"50ha","unlogged",NA
"Nothaphoebe umbelliflora","Nothaphoebe","umbelliflora","Lauraceae","NR, AR","CP, 50ha","both",NA
"Nothaphoebe unknown mixed","Nothaphoebe","unknown mixed","Lauraceae","AR","CP","logged",NA
"Nyssa javanica","Nyssa","javanica","Nyssaceae",NA,"50ha","unlogged",NA
"Ochanostachys amentacea","Ochanostachys","amentacea","Olacaceae","AR, NR","CP, 50ha","both",NA
"Octomeles sumatrana","Octomeles","sumatrana","Tetramelaceae","NR, AR","CP, 50ha","both",NA
"Oreocnide trinervis","Oreocnide","trinervis","Urticaceae",NA,"50ha","unlogged",NA
"Ormosia bancana","Ormosia","bancana","Fabaceae","NR","CP, 50ha","both",NA
"Orophea corymbosa","Orophea","corymbosa","Annonaceae","NR, no seedling data","CP, 50ha","both",NA
"Orophea creaghii","Orophea","creaghii","Annonaceae",NA,"50ha","unlogged",NA
"Orophea myriantha","Orophea","myriantha","Annonaceae","NR, no seedling data, AR","CP, 50ha","both",NA
"Palaquium beccarianum","Palaquium","beccarianum","Sapotaceae","NR, AR","CP, 50ha","both",NA
"Palaquium dasyphyllum","Palaquium","dasyphyllum","Sapotaceae","NR","CP, 50ha","both",NA
"Palaquium maingayi","Palaquium","maingayi","Sapotaceae","AR","CP, 50ha","both",NA
"Palaquium sericeum","Palaquium","sericeum","Sapotaceae",NA,"50ha","unlogged",NA
"Palaquium unknown mixed","Palaquium","unknown mixed","Sapotaceae",NA,"50ha","unlogged",NA
"Pangium edule","Pangium","edule","Achariaceae",NA,"50ha","unlogged",NA
"Paranephelium macrophyllum","Paranephelium","macrophyllum","Sapindaceae","NR, no seedling data","CP, 50ha","both",NA
"Paranephelium xestophyllum","Paranephelium","xestophyllum","Sapindaceae","NR, AR","CP, 50ha","both",NA
"Parashorea malaanonan","Parashorea","malaanonan","Dipterocarpaceae","AR, NR","CP, 50ha, IF","both","ActiveRestoration, NaturalRegeneration"
"Parashorea tomentella","Parashorea","tomentella","Dipterocarpaceae","AR, NR, no seedling data","CP, 50ha, IF","both","NaturalRegeneration"
"Parastemon urophyllus","Parastemon","urophyllus","Chrysobalanaceae",NA,"50ha","unlogged",NA
"Parinari excelsa","Parinari","excelsa","Chrysobalanaceae","AR","CP, 50ha","both",NA
"Parinari oblongifolia","Parinari","oblongifolia","Chrysobalanaceae","AR","CP, 50ha","both",NA
"Parinari unknown mixed","Parinari","unknown mixed","Chrysobalanaceae","NR","CP, 50ha","both",NA
"Parkia speciosa","Parkia","speciosa","Fabaceae-mimosoideae",NA,"50ha","unlogged",NA
"Parkia unknown mixed","Parkia","unknown mixed","Fabaceae","AR","CP","logged",NA
"Pavetta wallichiana","Pavetta","wallichiana","Rubiaceae",NA,"50ha","unlogged",NA
"Payena Unknown species1","Payena","Unknown species1","Sapotaceae",NA,"50ha","unlogged",NA
"Payena acuminata","Payena","acuminata","Sapotaceae","NR","CP, 50ha","both",NA
"Payena microphylla","Payena","microphylla","Sapotaceae","NR","CP, 50ha","both",NA
"Payena unknown mixed","Payena","unknown mixed","Sapotaceae","AR, NR","CP","logged",NA
"Peltophorum racemosum","Peltophorum","racemosum","Fabaceae","AR, NR","CP, 50ha","both",NA
"Pentace adenophora","Pentace","adenophora","Malvaceae","AR, NR","CP, 50ha","both",NA
"Pentace laxiflora","Pentace","laxiflora","Malvaceae","AR, NR","CP, 50ha, IF","both","NaturalRegeneration"
"Pentace unknown mixed","Pentace","unknown mixed","Malvaceae","AR","CP","logged",NA
"Phaeanthus ophthalmicus","Phaeanthus","ophthalmicus","Annonaceae",NA,"50ha","unlogged",NA
"Phaeanthus splendens","Phaeanthus","splendens","Annonaceae","AR, no seedling data, NR","CP, 50ha","both",NA
"Phaleria  capitata","Phaleria ","capitata","Thymelaeaceae","NR","CP","logged",NA
"Phoebe grandis","Phoebe","grandis","Lauraceae",NA,"50ha","unlogged",NA
"Planchonia brevistipitata","Planchonia","brevistipitata","Barringtoniaceae","AR, NR","CP, 50ha","both",NA
"Planchonia unknown","Planchonia","unknown","Lecythidaceae",NA,"50ha","unlogged",NA
"Planchonia unknown mixed","Planchonia","unknown mixed","Barringtoniaceae","AR","CP","logged",NA
"Planchonia valida","Planchonia","valida","Lecythidaceae",NA,"50ha","unlogged",NA
"Pleiocarpidia sandakanica","Pleiocarpidia","sandakanica","Rubiaceae","AR, NR","CP, 50ha","both",NA
"Polyalthia borneensis","Polyalthia","borneensis","Annonaceae",NA,"50ha","unlogged",NA
"Polyalthia cauliflora","Polyalthia","cauliflora","Annonaceae","NR","CP, 50ha","both",NA
"Polyalthia insignis","Polyalthia","insignis","Annonaceae",NA,"50ha","unlogged",NA
"Polyalthia microtus","Polyalthia","microtus","Annonaceae",NA,"50ha","unlogged",NA
"Polyalthia obliqua","Polyalthia","obliqua","Annonaceae","NR","CP, 50ha","both",NA
"Polyalthia saprosma","Polyalthia","saprosma","Annonaceae",NA,"50ha","unlogged",NA
"Polyalthia species 3","Polyalthia","species 3","Annonaceae",NA,"50ha","unlogged",NA
"Polyosma integrifolia","Polyosma","integrifolia","Polyosmaceae",NA,"50ha","unlogged",NA
"Pometia pinnata","Pometia","pinnata","Sapindaceae","AR, NR","CP, 50ha","both",NA
"Popowia hirtum","Popowia","hirtum","Annonaceae",NA,"50ha","unlogged",NA
"Popowia odoardoi","Popowia","odoardoi","Annonaceae",NA,"50ha","unlogged",NA
"Popowia pisocarpa","Popowia","pisocarpa","Annonaceae",NA,"50ha","unlogged",NA
"Popowia unknown mixed","Popowia","unknown mixed","Annonaceae",NA,"50ha","unlogged",NA
"Prainea limpato","Prainea","limpato","Moraceae",NA,"50ha","unlogged",NA
"Praravinia suberosa","Praravinia","suberosa","Rubiaceae",NA,"50ha","unlogged",NA
"Praravinia unknown mixed","Praravinia","unknown mixed","Rubiaceae",NA,"50ha","unlogged",NA
"Praravinia verruculosa","Praravinia","verruculosa","Rubiaceae",NA,"50ha","unlogged",NA
"Prismatomeris beccariana","Prismatomeris","beccariana","Rubiaceae",NA,"50ha","unlogged",NA
"Prismatomeris species 1","Prismatomeris","species 1","Rubiaceae",NA,"50ha","unlogged",NA
"Prunus polystachya","Prunus","polystachya","Rosaceae","AR","CP","logged",NA
"Prunus unknown mixed","Prunus","unknown mixed","Rosaceae","AR","CP","logged",NA
"Pseuduvaria pamattonis","Pseuduvaria","pamattonis","Annonaceae",NA,"50ha","unlogged",NA
"Pseuduvaria reticulata","Pseuduvaria","reticulata","Annonaceae","no seedling data, AR, NR","CP, 50ha","both",NA
"Psychotria species 1","Psychotria","species 1","Rubiaceae",NA,"50ha","unlogged",NA
"Psychotria species 2","Psychotria","species 2","Rubiaceae",NA,"50ha","unlogged",NA
"Psydrax dicoccus","Psydrax","dicoccus","Rubiaceae","AR, NR","CP, 50ha","both",NA
"Pternandra coerulescens","Pternandra","coerulescens","Melastomataceae","AR, NR","CP, 50ha","both",NA
"Pterospermum javanicum","Pterospermum","javanicum","Malvaceae","no seedling data, NR, AR","CP, 50ha, IF","both","ActiveRestoration"
"Pterospermum subpeltatum","Pterospermum","subpeltatum","Malvaceae",NA,"50ha","unlogged",NA
"Pterospermum unknown mixed","Pterospermum","unknown mixed","Malvaceae","NR","CP","logged",NA
"Pterygota alata","Pterygota","alata","Malvaceae","NR","CP","logged",NA
"Ptychopyxis arborea","Ptychopyxis","arborea","Euphorbiaceae","AR, NR","CP, 50ha","both",NA
"Putranjiva roxburghii","Putranjiva","roxburghii","Putranjivaceae",NA,"50ha","unlogged",NA
"Pyrenaria acuminata","Pyrenaria","acuminata","Theaceae",NA,"50ha","unlogged",NA
"Quercus argentata","Quercus","argentata","Fagaceae",NA,"50ha","unlogged",NA
"Quercus unknown mixed","Quercus","unknown mixed","Fagaceae",NA,"50ha","unlogged",NA
"Reinwardtiodendron humile","Reinwardtiodendron","humile","Meliaceae","AR, NR","CP, 50ha","both",NA
"Rennellia borneensis","Rennellia","borneensis","Rubiaceae",NA,"50ha","unlogged",NA
"Rinorea bengalensis","Rinorea","bengalensis","Violaceae",NA,"50ha","unlogged",NA
"Rinorea congesta","Rinorea","congesta","Violaceae",NA,"50ha","unlogged",NA
"Rinorea unknown","Rinorea","unknown","Violaceae",NA,"50ha","unlogged",NA
