"PlotNo","restoration","binomial_name","Family","Genus","Species","DBH.mm","Height_m","species_origin"
"2D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",783,46.5,"CP"
"2D","AR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",156,18.7,"CP"
"2D","AR","Diospyros macrophylla","EBENACEAE","Diospyros","macrophylla",364,27,"CP"
"2D","AR","Teijsmanniodendron unknown mixed","LAMIACEAE","Teijsmanniodendron","unknown mixed",193,17,"CP"
"2D","AR","Aglaia unknown mixed","MELIACEAE","Aglaia","unknown mixed",221,25.7,"CP"
"2D","AR","Canarium denticulatum","BURSERACEAE","Canarium","denticulatum",427,39.4,"CP"
"2D","AR","Pentace adenophora","MALVACEAE","Pentace","adenophora",157,14,"CP"
"2D","AR","Ryparosa hullettii","ACHARIACEAE","Ryparosa","hullettii",179,25.2,"CP"
"2D","AR","Shorea atrinervosa","DIPTEROCARPACEAE","Shorea","atrinervosa",513,31.5,"CP"
"2D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",200,25.8,"CP"
"2D","AR","Mallotus penangensis","EUPHORBIACEAE","Mallotus","penangensis",104,10.6,"CP"
"2D","AR","Hopea ferruginea","DIPTEROCARPACEAE","Hopea","ferruginea",113,23.9,"CP"
"2D","AR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",106,16.1,"CP"
"2D","AR","Pentace adenophora","MALVACEAE","Pentace","adenophora",108,16.3,"CP"
"2D","AR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",121,11.4,"CP"
"2D","AR","Hydnocarpus anomala","ACHARIACEAE","Hydnocarpus","anomala",126,17,"CP"
"2D","AR","Shorea unknown mixed","DIPTEROCARPACEAE","Shorea","unknown mixed",255,26.2,"CP"
"2D","AR","Drypetes eriocarpa","PUTRANJIVACEAE","Drypetes","eriocarpa",146,14,"CP"
"2D","AR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",281,28.4,"CP"
"2D","AR","Shorea superba","DIPTEROCARPACEAE","Shorea","superba",376,40.7,"CP"
"2D","AR","Syzygium hirtum","MYRTACEAE","Syzygium","hirtum",118,9.3,"CP"
"2D","AR","Drypetes longifolia","PUTRANJIVACEAE","Drypetes","longifolia",110,11.1,"CP"
"2D","AR","Kibara obtusa","MONIMIACEAE","Kibara","obtusa",180,14.2,"CP"
"2D","AR","Meliosma pinnata","SABIACEAE","Meliosma","pinnata",239,28.7,"CP"
"2D","AR","Teijsmanniodendron unknown mixed","LAMIACEAE","Teijsmanniodendron","unknown mixed",231,12,"CP"
"2D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",193,25.5,"CP"
"2D","AR","Dipterocarpus applanatus","DIPTEROCARPACEAE","Dipterocarpus","applanatus",104,11.9,"CP"
"2D","AR","Lithocarpus unknown mixed","FAGACEAE","Lithocarpus","unknown mixed",207,37.2,"CP"
"2D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",576,33.3,"CP"
"2D","AR","Litsea angulata","LAURACEAE","Litsea","angulata",255,15.6,"CP"
"2D","AR","Shorea unknown mixed","DIPTEROCARPACEAE","Shorea","unknown mixed",166,17.8,"CP"
"2D","AR","Knema laurina","MYRISTICACEAE","Knema","laurina",163,17.3,"CP"
"2D","AR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",119,12.8,"CP"
"2D","AR","Shorea fallax","DIPTEROCARPACEAE","Shorea","fallax",121,21.1,"CP"
"2D","AR","Shorea gibbosa","DIPTEROCARPACEAE","Shorea","gibbosa",137,16.7,"CP"
"2D","AR","Ryparosa acuminata","ACHARIACEAE","Ryparosa","acuminata",145,13.7,"CP"
"2D","AR","Shorea macrophylla","DIPTEROCARPACEAE","Shorea","macrophylla",1005,41.7,"CP"
"2D","AR","Macaranga hypoleuca","EUPHORBIACEAE","Macaranga","hypoleuca",403,41.2,"CP"
"3D","AR","Syzygium unknown mixed","MYRTACEAE","Syzygium","unknown mixed",186,20.7,"CP"
"3D","AR","Diospyros pilosanthera","EBENACEAE","Diospyros","pilosanthera",120,12.1,"CP"
"3D","AR","Ardisia  unknown mixed","PRIMULACEAE","Ardisia ","unknown mixed",194,29.6,"CP"
"3D","AR","Alangium javanicum","ALANGIACEAE","Alangium","javanicum",274,29.4,"CP"
"3D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",142,18.7,"CP"
"3D","AR","Mallotus wrayi","EUPHORBIACEAE","Mallotus","wrayi",133,16.6,"CP"
"3D","AR","Shorea parvifolia","DIPTEROCARPACEAE","Shorea","parvifolia",939,60.6,"CP"
"3D","AR","Parashorea malaanonan","DIPTEROCARPACEAE","Parashorea","malaanonan",417,33.8,"CP"
"3D","AR","Reinwardtiodendron humile","MELIACEAE","Reinwardtiodendron","humile",150,22.7,"CP"
