"binomial_name","family","genus","species","history_at_IF_site","history_at_CP_site","species_origin","logging_status"
"Fordia species 1","Fabaceae","Fordia","species 1",NA,NA,"50ha","unlogged"
"Fordia species 3","Fabaceae","Fordia","species 3",NA,NA,"50ha","unlogged"
"Fordia splendidissima","Fabaceae","Fordia","splendidissima",NA,"AR, NR","CP, 50ha","both"
"Fordia unknown mixed","Fabaceae","Fordia","unknown mixed",NA,"NR","CP","logged"
"Galearia fulva","Pandaceae","Galearia","fulva",NA,"AR","CP, 50ha","both"
"Garcinia nervosa","Clusiaceae","Garcinia","nervosa",NA,"AR","CP, 50ha","both"
"Garcinia forbesii","Clusiaceae","Garcinia","forbesii",NA,"AR, NR","CP, 50ha","both"
"Garcinia gaudichaudii","Clusiaceae","Garcinia","gaudichaudii",NA,NA,"50ha","unlogged"
"Garcinia parvifolia","Clusiaceae","Garcinia","parvifolia",NA,NA,"50ha","unlogged"
"Garcinia unknown mixed","Clusiaceae","Garcinia","unknown mixed",NA,"AR","CP","logged"
"Gardenia carinata","Rubiaceae","Gardenia","carinata",NA,NA,"50ha","unlogged"
"Gironniera nervosa","Cannabaceae","Gironniera","nervosa",NA,"AR, NR","CP, 50ha","both"
"Gironniera species 1","Cannabaceae","Gironniera","species 1",NA,NA,"50ha","unlogged"
"Phyllanthus  borneensis","Phyllanthaceae","Phyllanthus ","borneensis",NA,NA,"50ha","unlogged"
"Glochidion elmeri","Phyllanthaceae","Glochidion","elmeri",NA,"AR, NR","CP, 50ha","both"
"Phyyanthus  lancisepalus","Phyllanthaceae","Phyyanthus ","lancisepalus",NA,"AR, NR","CP, 50ha","both"
