LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Hopea lowii	29483	Hopea sangal	32704	750547			235	Comments, notes, methods	Note	Diaspore=fruit. The diaspore has wings or wing-like features.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Hopea lowii	29483	Hopea sangal	32704	750548			113	Reference / source	Reference	Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd.,  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		7084	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Xanthophyllum flavescens	57142	Xanthophyllum flavescens	33201	752687	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Xanthophyllum flavescens	57142	Xanthophyllum flavescens	1059505	752688	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Xanthophyllum flavescens	57142	Xanthophyllum flavescens	33201	752689			235	Comments, notes, methods	Note	Diaspore=berry. The fruit is fleshy/juicy.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Xanthophyllum flavescens	57142	Xanthophyllum flavescens	33201	752690			113	Reference / source	Reference	Forest Restoration Research Unit. 2000. Tree Seed and Seedlings for Restoring Forests in Northe ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		2673	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Anisoptera costata	3844	Anisoptera costata	33422	753636	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Anisoptera costata	3844	Anisoptera costata	1059719	753637	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is blown by wind											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Anisoptera costata	3844	Anisoptera costata	33422	753638			235	Comments, notes, methods	Note	Diaspore=fruit. The diaspore has wings or wing-like features.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Anisoptera costata	3844	Anisoptera costata	33422	753639			113	Reference / source	Reference	Ridley, H.N. 1930. The Dispersal of Plants Throughout the World. William Clowes and Sons Ltd.,  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		7084	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Cinnamomum iners	12962	Cinnamomum iners	33459	753802	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Cinnamomum iners	12962	Cinnamomum iners	1059756	753803	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Cinnamomum iners	12962	Cinnamomum iners	33459	753804			235	Comments, notes, methods	Note	Diaspore=berry. The fruit pulp is fibrous or powdery.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Cinnamomum iners	12962	Cinnamomum iners	33459	753805			113	Reference / source	Reference	Forest Restoration Research Unit. 2000. Tree Seed and Seedlings for Restoring Forests in Northe ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		2673	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pangium edule	39932	Pangium edule	33531	754095	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Water											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pangium edule	39932	Pangium edule	1059824	754096	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Floating in freshwater currents											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pangium edule	39932	Pangium edule	33531	754097			235	Comments, notes, methods	Note	The diaspore is buoyant.											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Pangium edule	39932	Pangium edule	33531	754098			113	Reference / source	Reference	van der Pijl, L. 1982. Principles of Dispersal in Higher Plants. 3rd Edition. Springer-Verlag,  ...											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).		8661	
Liu	Udayangani	21	KEW Seed Information Database (SID)	Nyssa javanica	38406	Nyssa javanica	33639	754554	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Animal											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
Liu	Udayangani	21	KEW Seed Information Database (SID)	Nyssa javanica	38406	Nyssa javanica	1059924	754555	28	Dispersal syndrome	32	Dispersal syndrome (agent)	PostDispersalAgentSubGroupDescription	Diaspore is eaten intentionally											Royal Botanical Gardens KEW. 2008. Seed Information Database (SID). Version 7.1. Available from: http://data.kew.org/sid/ (May 2008).			
